"ID","Department","To Date","From Date","Company","Total Estimated Budget","ID (Staffing Plan Detail)"
"plan9760","Dispatch - 117","2073-02-20","2073-01-15","17company",949455.0,"ed88c67f35"
"plan9723","Dispatch - 2","2072-10-24","2071-07-20","2company",0.0,"578e58de6e"
"plan9720","Operations - 9","2071-09-22","2071-09-22","9company",0.0,"6a1a24b54a"
"plan9718","Quality Management - 113","2071-07-11","2071-02-04","13company",0.0,"308b962216"
"plan9713","Human Resources - 6","2072-10-22","2071-08-15","6company",1569711.0,"c384093ea5"
"plan9699","Management - 2","2071-06-22","2071-06-14","2company",0.0,"3d7d2b0b43"
"plan9695","Dispatch - 1","2071-11-16","2071-10-15","1company",0.0,"5714387792"
"plan9692","Sales - 117","2072-11-26","2071-07-25","17company",0.0,"62de1fcab8"
"plan9691","Dispatch - 7","2071-08-26","2071-03-19","7company",0.0,"b5f52cce1e"
"plan9689","Customer Service - 8","2071-08-21","2071-01-15","8company",490743.0,"3bdd86cd18"
"plan9688","Human Resources - 112","2071-08-24","2071-08-01","12company",478775.0,"b2e0c2a894"
"plan9684","Human Resources - 117","2072-06-27","2071-05-07","17company",376533.0,"ec8fb4509c"
"plan9683","Operations - 6","2072-10-01","2071-10-01","6company",454648.0,"4307ec672a"
"plan9682","Production - 5","2072-10-18","2071-08-08","5company",0.0,"7e569ae97e"
"plan9680","Production - 3","2071-09-25","2071-08-21","3company",992103.0,"5c5139f60d"
"plan9677","Dispatch - 2","2071-07-15","2071-05-09","2company",0.0,"d5e361954e"
"plan9676","Sales - 117","2071-08-25","2071-08-15","17company",0.0,"19bcb5fa95"
"plan9675","Marketing - 6","2071-11-23","2071-11-21","6company",0.0,"9806b08d90"
"plan9670","Purchase - 2","2071-08-28","2071-02-25","2company",0.0,"47ca4083b9"
"plan9669","Production - 5","2072-09-21","2071-02-09","5company",258150.0,"e5d95cb2a8"
"plan9664","Human Resources - 113","2071-05-29","2071-03-02","13company",0.0,"a4e3c0b334"
"plan9660","Sales - 1","2072-02-10","2071-02-09","1company",0.0,"d33d09d8ef"
"plan9658","Human Resources - 118","2071-05-25","2071-01-22","18company",1098768.0,"9f1b304e4d"
"plan9657","Marketing - 110","2071-10-24","2071-09-16","10company",0.0,"d55182c4c4"
"plan9651","Legal - 2","2072-11-27","2071-11-17","2company",0.0,"4f2fb8c1c8"
"plan9648","Operations - 2","2072-09-29","2071-05-28","2company",0.0,"38d47b0d56"
"plan9647","","2071-07-25","2071-01-14","11company",523015.0,"770e54263d"
"plan9646","Production - 113","2072-10-29","2071-10-29","13company",0.0,"407461b7ec"
"plan9645","Dispatch - 112","2071-11-21","2071-11-16","12company",0.0,"55ccb706ad"
"plan9636","Quality Management - 8","2072-10-28","2071-08-01","8company",1277320.0,"f4ae644a56"
"plan9634","Sales - 1","2071-09-20","2071-05-16","1company",373849.0,"a18babc3ab"
"plan9630","Human Resources - 9","2072-10-19","2071-10-14","9company",0.0,"6a55be1f58"
"plan9629","Legal - 117","2071-08-27","2071-04-11","17company",0.0,"b2eaec5a1e"
"plan9623","Legal - 117","2072-08-24","2071-05-07","17company",0.0,"dcfc02bc64"
"plan9619","Research & Development - 1","2072-11-20","2071-11-15","1company",1087515.0,"07163c0020"
"plan9618","Purchase - 6","2071-11-22","2071-10-17","6company",240688.0,"c30f830716"
"plan9617","Legal - 8","2072-09-27","2071-09-02","8company",0.0,"f906ab50ff"
"plan9612","Customer Service - 114","2071-09-24","2071-03-17","14company",0.0,"eab33484df"
"plan9611","","2071-09-29","2071-09-22","11company",743952.0,"2e93a004a1"
"plan9610","Research & Development - 110","2072-10-21","2071-09-02","10company",0.0,"b9994db8d7"
"plan9608","Customer Service - 5","2071-07-13","2071-06-04","5company",816648.0,"b37c0465e0"
"plan9606","Sales - 4","2071-11-25","2071-08-22","4company",920668.0,"99d37eac9e"
"plan9601","Human Resources - 110","2071-10-22","2071-08-08","10company",0.0,"32ea6313ca"
"plan9600","Human Resources - 8","2071-10-27","2071-04-23","8company",0.0,"5ee0c07889"
"plan9598","Human Resources - 117","2072-11-07","2071-09-04","17company",0.0,"7d96346490"
"plan9596","Dispatch - 2","2072-11-27","2071-01-24","2company",0.0,"62aeaa9a83"
"plan9593","","2071-11-16","2071-07-16","11company",0.0,"8c4b9c5029"
"plan9590","Research & Development - 112","2071-05-28","2071-04-25","12company",0.0,"813e885121"
"plan9585","Legal - 116","2072-09-19","2071-08-19","16company",0.0,"5f45024fa5"
"plan9579","Customer Service - 110","2071-09-10","2071-09-06","10company",358212.0,"166e706a3b"
"plan9578","Legal - 115","2071-04-13","2071-02-11","15company",475080.0,"bf18cc48b2"
"plan9577","Dispatch - 1","2071-10-19","2071-06-08","1company",743115.0,"983252936b"
"plan9575","Legal - 110","2072-05-23","2071-05-15","10company",658904.0,"8d85299070"
"plan9573","Dispatch - 5","2072-08-04","2071-02-03","5company",0.0,"f5f358499e"
"plan9567","Quality Management - 110","2071-05-26","2071-04-24","10company",0.0,"6ced2bb269"
"plan9564","Purchase - 6","2072-04-29","2071-04-29","6company",546320.0,"25ad294a92"
"plan9560","Quality Management - 2","2071-02-28","2071-02-11","2company",0.0,"4c7eadfbf9"
"plan9556","Research & Development - 118","2071-08-27","2071-07-25","18company",0.0,"eadee2ac77"
"plan9555","Dispatch - 118","2071-11-15","2071-09-15","18company",0.0,"485b477ef8"
"plan9550","Operations - 117","2072-07-26","2071-05-21","17company",0.0,"ae0493b01f"
"plan9549","Sales - 6","2071-11-28","2071-09-27","6company",0.0,"08cc3e5810"
"plan9546","Purchase - 113","2072-04-25","2071-04-06","13company",0.0,"fb6cc30f00"
"plan9542","Dispatch - 9","2071-03-25","2071-03-21","9company",576224.0,"98230e046c"
"plan9537","Marketing - 2","2071-11-16","2071-10-16","2company",0.0,"a02a4d0656"
"plan9533","Marketing - 114","2072-09-29","2071-04-23","14company",0.0,"0aab329e89"
"plan9531","","2072-11-28","2071-11-14","11company",1090690.0,"0353ee0711"
"plan9529","Customer Service - 112","2072-08-15","2071-05-12","12company",251470.0,"4067e959f8"
"plan9523","Management - 118","2072-02-25","2071-02-18","18company",0.0,"086d92d728"
"plan9521","Purchase - 6","2071-10-20","2071-09-13","6company",229428.0,"da2f896c44"
"plan9520","Research & Development - 117","2071-02-15","2071-01-09","17company",0.0,"9f04498ecb"
"plan9515","Customer Service - 9","2072-10-29","2071-10-28","9company",1014777.0,"f9ebe639b2"
"plan9513","Sales - 110","2072-11-26","2071-09-26","10company",0.0,"4178ebfe23"
"plan9512","Dispatch - 8","2071-06-25","2071-05-17","8company",168057.0,"3d24dc0dd2"
"plan9511","Management - 118","2071-04-16","2071-04-16","18company",0.0,"4a12f8e4bd"
"plan9505","Operations - 118","2072-07-20","2071-07-19","18company",0.0,"491a3f9d24"
"plan9501","Operations - 113","2072-08-22","2071-07-17","13company",0.0,"b71a912256"
"plan9498","Human Resources - 114","2071-11-20","2071-11-19","14company",881586.0,"241b63b962"
"plan9497","Customer Service - 2","2071-10-25","2071-10-25","2company",0.0,"f2ca1604df"
"plan9494","Human Resources - 118","2071-05-23","2071-01-22","18company",0.0,"352b1b3935"
"plan9492","Operations - 118","2072-10-26","2071-05-26","18company",298125.0,"ef73b33532"
"plan9491","Legal - 113","2072-11-05","2071-02-02","13company",0.0,"3f94339833"
"plan9486","Operations - 1","2071-11-17","2071-03-05","1company",0.0,"816c8e2140"
"plan9485","Dispatch - 116","2071-11-27","2071-11-19","16company",0.0,"b4f240c50e"
"plan9483","","2071-09-17","2071-05-12","11company",0.0,"a75b2d315c"
"plan9481","Purchase - 110","2072-10-15","2071-03-09","10company",455865.0,"99e581642a"
"plan9480","Purchase - 114","2071-06-27","2071-03-26","14company",0.0,"b28f110b0b"
"plan9479","Dispatch - 117","2071-10-25","2071-10-23","17company",435750.0,"b94d4b92cb"
"plan9477","Quality Management - 3","2071-08-24","2071-02-02","3company",511911.0,"ae29edc062"
"plan9476","Legal - 110","2071-09-27","2071-03-07","10company",692585.0,"b363e29290"
"plan9473","","2072-10-25","2071-10-21","11company",0.0,"9323c0d9c8"
"plan9471","Marketing - 117","2072-09-27","2071-04-09","17company",411552.0,"b5d6a98484"
"plan9470","Legal - 6","2072-11-29","2071-10-25","6company",935470.0,"966f2ad92a"
"plan9469","Marketing - 112","2071-03-07","2071-01-03","12company",886291.0,"0f4b0cf135"
"plan9468","Purchase - 113","2071-06-27","2071-01-24","13company",0.0,"0d5810544e"
"plan9465","Sales - 7","2072-09-11","2071-08-11","7company",0.0,"420e546f63"
"plan9464","Marketing - 2","2071-08-24","2071-08-08","2company",0.0,"feb142249d"
"plan9462","Quality Management - 4","2072-09-28","2071-07-28","4company",0.0,"61b431df01"
"plan9461","Legal - 8","2071-02-25","2071-02-25","8company",0.0,"0245efdefb"
"plan9459","Human Resources - 4","2072-11-25","2071-11-22","4company",1210023.0,"c206753dfc"
"plan9456","Human Resources - 114","2072-01-29","2071-01-25","14company",358506.0,"b9e936b1f5"
"plan9455","Research & Development - 114","2072-06-29","2071-05-09","14company",0.0,"00c0e02950"
"plan9454","Operations - 3","2071-11-13","2071-06-08","3company",163756.0,"29191adbf7"
"plan9453","Purchase - 118","2071-08-29","2071-03-20","18company",0.0,"4c9d657fa8"
"plan9451","Sales - 110","2071-05-16","2071-04-13","10company",0.0,"9c7b69640f"
"plan9448","Human Resources - 3","2071-07-13","2071-01-02","3company",0.0,"c68818cce6"
"plan9447","Marketing - 113","2072-09-26","2071-06-15","13company",0.0,"2d3e58a7fb"
"plan9446","Sales - 112","2071-02-17","2071-02-16","12company",0.0,"85565b927c"
"plan9444","Dispatch - 6","2072-10-16","2071-04-07","6company",0.0,"c9fc538a51"
"plan9443","Purchase - 2","2071-11-27","2071-02-13","2company",0.0,"0994bc8ecc"
"plan9441","Human Resources - 110","2072-08-22","2071-07-21","10company",714510.0,"350630fae0"
"plan9440","Sales - 9","2072-03-27","2071-01-03","9company",0.0,"ee5df4beea"
"plan9438","Research & Development - 7","2071-07-28","2071-06-26","7company",762402.0,"e5b6a7a48a"
"plan9437","Dispatch - 113","2072-08-29","2071-05-29","13company",361628.0,"44a3d3682d"
"plan9436","Production - 115","2072-07-21","2071-05-09","15company",770448.0,"f32ed9f620"
"plan9434","Dispatch - 2","2071-08-04","2071-05-03","2company",348237.0,"d202246b54"
"plan9433","Customer Service - 8","2072-06-24","2071-01-24","8company",524400.0,"444e650fd2"
"plan9431","Dispatch - 3","2071-10-27","2071-06-04","3company",239314.0,"de05abd424"
"plan9430","Management - 7","2072-09-29","2071-03-06","7company",0.0,"1166a14414"
"plan9428","Legal - 4","2071-11-19","2071-10-19","4company",0.0,"4da0948a50"
"plan9427","Operations - 1","2072-11-21","2071-11-13","1company",1005960.0,"5adc2e9d97"
"plan9422","Sales - 6","2072-09-25","2071-09-10","6company",0.0,"16a468bcf0"
"plan9421","Human Resources - 114","2071-08-20","2071-07-11","14company",0.0,"40174eca20"
"plan9420","Sales - 3","2071-10-27","2071-07-16","3company",0.0,"819453fbb3"
"plan9418","Research & Development - 110","2071-11-29","2071-11-29","10company",0.0,"7ad4c35944"
"plan9417","Dispatch - 9","2072-10-10","2071-07-05","9company",420625.0,"c5278c82f8"
"plan9416","Operations - 112","2071-10-11","2071-10-11","12company",979137.0,"81528e7bd4"
"plan9415","Human Resources - 7","2072-02-14","2071-02-01","7company",0.0,"6863a73398"
"plan9413","Human Resources - 112","2072-11-12","2071-04-11","12company",461132.0,"1809fcf0f7"
"plan9412","Operations - 1","2072-11-14","2071-05-10","1company",507488.0,"a49cfe4d81"
"plan9411","Human Resources - 4","2071-10-15","2071-03-03","4company",0.0,"8c9da4aef3"
"plan9409","","2071-11-22","2071-08-22","11company",940884.0,"6a0ca7dc40"
"plan9408","Management - 7","2071-11-29","2071-11-26","7company",947196.0,"bb57fe9c19"
"plan9407","Legal - 9","2072-08-25","2071-07-18","9company",0.0,"93fb9de4b2"
"plan9406","Management - 116","2072-10-27","2071-08-05","16company",0.0,"9b49ad8a78"
"plan9404","Dispatch - 7","2071-09-25","2071-09-06","7company",208548.0,"cd56f2d95b"
"plan9403","","2072-04-19","2071-04-04","11company",390090.0,"bd6f0f9d71"
"plan9402","Management - 3","2071-09-12","2071-09-12","3company",236307.0,"9c2d3cbae3"
"plan9401","Human Resources - 3","2072-11-20","2071-08-01","3company",0.0,"3cdd2dcfa7"
"plan9400","Customer Service - 115","2072-07-26","2071-07-24","15company",0.0,"66bc42fee9"
"plan9399","Purchase - 7","2071-03-21","2071-02-09","7company",0.0,"95e253bb32"
"plan9398","Marketing - 8","2072-05-21","2071-01-16","8company",556934.0,"f4622f06c0"
"plan9395","Management - 7","2072-09-25","2071-05-23","7company",1305440.0,"b84f186a74"
"plan9394","Sales - 118","2072-11-24","2071-09-01","18company",0.0,"0b9e9e24d2"
"plan9391","Management - 6","2071-11-16","2071-07-13","6company",163922.0,"969fad3dba"
"plan9388","Customer Service - 115","2071-10-08","2071-07-04","15company",0.0,"5d0a379dc2"
"plan9387","Production - 116","2071-07-25","2071-06-22","16company",0.0,"c2879526bc"
"plan9386","Customer Service - 115","2072-05-29","2071-05-28","15company",587685.0,"b6257f700e"
"plan9384","Quality Management - 114","2071-02-26","2071-02-24","14company",0.0,"4d1189ae6d"
"plan9383","Purchase - 9","2072-11-28","2071-09-05","9company",903645.0,"673d6b480e"
"plan9381","Human Resources - 9","2071-10-21","2071-01-12","9company",0.0,"43b55812c9"
"plan9379","Production - 115","2071-10-14","2071-08-03","15company",0.0,"279993d95f"
"plan9376","Human Resources - 9","2071-10-23","2071-10-19","9company",0.0,"8c53fb5316"
"plan9375","Purchase - 113","2071-11-21","2071-08-12","13company",0.0,"cc2e6b0075"
"plan9374","Sales - 4","2071-03-13","2071-02-11","4company",473670.0,"a4862e540d"
"plan9373","Human Resources - 5","2072-05-29","2071-01-29","5company",0.0,"0255951053"
"plan9372","","2072-10-19","2071-10-11","11company",0.0,"f1a30c3c00"
"plan9370","Research & Development - 112","2072-04-22","2071-04-19","12company",505195.0,"cd40f6cb81"
"plan9369","Purchase - 113","2071-06-21","2071-06-04","13company",558860.0,"b6a005dafe"
"plan9367","Production - 112","2072-11-12","2071-09-08","12company",0.0,"2b86b9c78c"
"plan9366","","2072-03-24","2071-03-09","11company",0.0,"f21019288e"
"plan9365","Marketing - 114","2072-10-20","2071-06-19","14company",0.0,"c16f64b6b8"
"plan9364","Customer Service - 6","2071-07-15","2071-02-07","6company",0.0,"691b5d45a5"
"plan9362","Operations - 5","2071-11-23","2071-10-04","5company",159254.0,"d83524395c"
"plan9361","Legal - 5","2071-11-29","2071-03-21","5company",535605.0,"d76e79e1c0"
"plan9360","Purchase - 9","2072-05-17","2071-01-05","9company",236674.0,"9256392d96"
"plan9359","Human Resources - 112","2072-05-22","2071-04-12","12company",973987.0,"233c7963de"
"plan9358","Quality Management - 112","2071-06-27","2071-04-27","12company",1311444.0,"0322d2f2d7"
"plan9357","Sales - 115","2072-11-06","2071-01-02","15company",837228.0,"f343203525"
"plan9356","Management - 116","2072-11-16","2071-11-08","16company",0.0,"02e8b45789"
"plan9355","Operations - 113","2072-09-25","2071-02-19","13company",0.0,"d5d16a5663"
"plan9352","Management - 116","2071-02-26","2071-01-25","16company",0.0,"6c6add12ef"
"plan9349","Human Resources - 110","2071-10-24","2071-02-24","10company",1396480.0,"d615408b43"
"plan9348","Operations - 5","2072-08-14","2071-06-03","5company",990760.0,"a8f8f5c379"
"plan9347","Marketing - 7","2071-09-29","2071-07-16","7company",899460.0,"9cbb35c217"
"plan9346","Production - 3","2071-11-27","2071-10-26","3company",0.0,"3dff58dc5b"
"plan9345","Operations - 112","2071-11-25","2071-04-20","12company",479916.0,"2a4c204cea"
"plan9344","Quality Management - 116","2072-04-28","2071-01-04","16company",0.0,"a95042e275"
"plan9342","Production - 113","2071-06-29","2071-06-26","13company",1261900.0,"e3b076b0de"
"plan9341","Legal - 5","2072-11-27","2071-10-25","5company",355140.0,"6755b73d68"
"plan9340","Marketing - 118","2071-10-13","2071-08-07","18company",203716.0,"19d7efe12b"
"plan9339","Purchase - 118","2072-09-07","2071-05-06","18company",318470.0,"5b05478f81"
"plan9338","","2072-11-27","2071-09-06","11company",0.0,"f579c99807"
"plan9336","Management - 117","2072-10-17","2071-10-15","17company",651960.0,"05d648afe7"
"plan9335","Marketing - 116","2072-10-27","2071-08-14","16company",1473582.0,"6168c99914"
"plan9334","Customer Service - 114","2072-10-23","2071-10-01","14company",0.0,"6bff416a4b"
"plan9333","Marketing - 8","2071-10-21","2071-07-20","8company",714428.0,"34bb79ce26"
"plan9331","Dispatch - 5","2071-04-25","2071-03-23","5company",734492.0,"5d7c7eb546"
"plan9329","Operations - 115","2071-09-29","2071-05-29","15company",959623.0,"ed3b4acdb3"
"plan9328","Legal - 1","2072-11-22","2071-11-10","1company",782800.0,"9919748c59"
"plan9327","","2072-09-26","2071-09-16","11company",624770.0,"4557cc0c73"
"plan9326","Quality Management - 114","2072-05-29","2071-05-29","14company",0.0,"0da2f7e2b2"
"plan9324","Production - 116","2071-10-29","2071-07-24","16company",453384.0,"2313c40a37"
"plan9323","Operations - 114","2071-08-29","2071-08-28","14company",419805.0,"6edc640596"
"plan9322","Management - 110","2072-10-05","2071-08-02","10company",486676.0,"c59953732c"
"plan9321","Marketing - 112","2071-10-07","2071-03-04","12company",324308.0,"575ba7ae4b"
"plan9320","Sales - 110","2071-07-25","2071-04-16","10company",294190.0,"ae728c4755"
"plan9319","Operations - 7","2072-11-07","2071-11-06","7company",270364.0,"44751041b9"
"plan9318","Sales - 113","2072-09-29","2071-01-29","13company",0.0,"0023940577"
