"ID","ID (Staffing Plan Detail)","Designation (Staffing Plan Detail)","Estimated Cost Per Position (Staffing Plan Detail)","Vacancies (Staffing Plan Detail)","Total Estimated Cost (Staffing Plan Detail)","Current Openings (Staffing Plan Detail)","Current Count (Staffing Plan Detail)","Number Of Positions (Staffing Plan Detail)"
"plan9844","a8360a86c8","HR Manager",83473.0,2,166946.0,0,0,2
"plan9843","419ae64583","Accountant",136086.0,0,0.0,0,0,0
"plan9842","2c840b3295","Analyst",53761.0,11,591371.0,0,0,11
"plan9841","85d532c0ce","Software Developer",61410.0,0,0.0,0,0,0
"plan9840","fd52308097","Designer",148943.0,2,297886.0,0,0,2
"plan9839","82f980bf73","Engineer",115960.0,7,811720.0,0,0,7
"plan9838","36737dc728","Accountant",138037.0,2,276074.0,0,0,2
"plan9837","0d280f8bb0","HR Manager",143340.0,4,573360.0,0,0,4
"plan9836","f1e189ce6b","Engineer",90672.0,0,0.0,0,0,0
"plan9835","f11fd6b73c","Project Manager",118596.0,0,0.0,0,0,0
"plan9834","29f7bdeeb3","Engineer",52247.0,0,0.0,0,0,0
"plan9833","7b36acaf8a","Researcher",131914.0,5,659570.0,0,0,5
"plan9832","0dcf7a61e9","Accountant",148379.0,10,1483790.0,0,0,10
"plan9831","4d235abb7e","HR Manager",130872.0,6,785232.0,0,0,6
"plan9830","05eeb4718b","Designer",93401.0,4,373604.0,0,0,4
"plan9829","906b9ad225","Designer",80023.0,0,0.0,0,0,0
"plan9828","2301516082","Researcher",94286.0,8,754288.0,0,0,8
"plan9824","851e7853ef","Researcher",103240.0,0,0.0,0,0,0
"plan9822","2d93134cb0","Business Development Manager",131139.0,7,917973.0,0,0,7
"plan9821","c499613ae1","Analyst",71182.0,0,0.0,0,0,0
"plan9819","23ef082d30","Designer",98217.0,0,0.0,0,0,0
"plan9818","6e22fca566","HR Manager",133089.0,0,0.0,0,0,0
"plan9817","29b4842aba","Accountant",70127.0,7,490889.0,0,0,7
"plan9816","43acc34a82","Designer",114150.0,6,684900.0,0,0,6
"plan9815","fb4fa78e86","HR Manager",74391.0,0,0.0,0,0,0
"plan9814","c2421b1eee","Associate",126003.0,0,0.0,0,0,0
"plan9813","f7ca29f260","Secretary",113702.0,2,227404.0,0,0,2
"plan9812","dfc82bf3b3","Business Development Manager",111172.0,0,0.0,0,0,0
"plan9811","5d86603c6f","Associate",92947.0,0,0.0,0,0,0
"plan9810","3367fb9a60","Researcher",104510.0,0,0.0,0,0,0
"plan9809","07e23bf75b","Analyst",53401.0,0,0.0,0,0,0
"plan9808","e09bf46e15","Designer",79469.0,9,715221.0,0,0,9
"plan9807","45c6fcba3b","Designer",102301.0,0,0.0,0,0,0
"plan9806","d71860f206","Accountant",76145.0,0,0.0,0,0,0
"plan9805","64a9186418","Associate",70558.0,0,0.0,0,0,0
"plan9804","b70e1c702b","Software Developer",81330.0,5,406650.0,0,0,5
"plan9803","7671b61d66","Administrative Officer",128609.0,0,0.0,0,0,0
"plan9802","c807b3f876","HR Manager",110767.0,3,332301.0,0,0,3
"plan9801","4c8754c947","Researcher",57921.0,3,173763.0,0,0,3
"plan9800","e8aea68f2c","Researcher",88281.0,0,0.0,0,0,0
"plan9799","ec85524cda","Researcher",130909.0,0,0.0,0,0,0
"plan9798","36b59fe6cb","Engineer",82606.0,0,0.0,0,0,0
"plan9797","0c7d5428b4","Researcher",102545.0,0,0.0,0,0,0
"plan9796","a8320501fd","Associate",59673.0,0,0.0,0,0,0
"plan9795","77e8c52e3f","Business Development Manager",139847.0,0,0.0,0,0,0
"plan9794","575109d941","Secretary",97577.0,0,0.0,0,0,0
"plan9793","148b3c803d","Engineer",74725.0,0,0.0,0,0,0
"plan9792","2fe0f95c5c","Software Developer",116870.0,0,0.0,0,0,0
"plan9791","ac342ab7f4","Accountant",59410.0,4,237640.0,0,0,4
"plan9790","e05a6a9194","Administrative Officer",140842.0,10,1408420.0,0,0,10
"plan9789","74b13024b5","Software Developer",112546.0,3,337638.0,0,0,3
"plan9788","9b71a97e2e","Business Development Manager",118228.0,0,0.0,0,0,0
"plan9787","22c3eb2e2a","Associate",91460.0,8,731680.0,0,0,8
"plan9786","b349bbd416","Accountant",101857.0,0,0.0,0,0,0
"plan9785","0acfd267a1","Secretary",74752.0,0,0.0,0,0,0
"plan9784","7cb344e28f","Engineer",70914.0,0,0.0,0,0,0
"plan9783","32b8193ac8","Analyst",77080.0,0,0.0,0,0,0
"plan9782","b9ef153519","Software Developer",102785.0,0,0.0,0,0,0
"plan9781","f4b88ad6df","Associate",96599.0,0,0.0,0,0,0
"plan9780","6fdc7a1000","Software Developer",147668.0,0,0.0,0,0,0
"plan9779","076dbd7158","HR Manager",86409.0,0,0.0,0,0,0
"plan9778","cfecc21033","Business Development Manager",131233.0,0,0.0,0,0,0
"plan9777","1a8196dc01","Software Developer",58589.0,0,0.0,0,0,0
"plan9776","74d1634d2e","Analyst",69480.0,0,0.0,0,0,0
"plan9775","da9ebec40d","Analyst",147694.0,6,886164.0,0,0,6
"plan9774","50d686faac","Secretary",55939.0,0,0.0,0,0,0
"plan9773","49048f162e","Accountant",80602.0,0,0.0,0,0,0
"plan9772","980f27187b","Accountant",131256.0,0,0.0,0,0,0
"plan9771","bce7d21fd1","Accountant",96481.0,0,0.0,0,0,0
"plan9770","95fe352ead","Head of Marketing and Sales",53289.0,0,0.0,0,0,0
"plan9769","19cf9368af","Project Manager",60634.0,6,363804.0,0,0,6
"plan9768","6bbb50b38b","Project Manager",72493.0,0,0.0,0,0,0
"plan9766","d5e8a7b13a","Researcher",74254.0,11,816794.0,0,0,11
"plan9765","0a6344fc5f","Analyst",126453.0,0,0.0,0,0,0
"plan9764","c3b2242085","Accountant",144656.0,5,723280.0,0,0,5
"plan9762","46861191a0","Designer",122072.0,0,0.0,0,0,0
"plan9761","cc332adf51","Software Developer",109535.0,6,657210.0,0,0,6
"plan9760","ed88c67f35","Designer",105495.0,9,949455.0,0,0,9
"plan9723","578e58de6e","Project Manager",74278.0,0,0.0,0,0,0
"plan9720","6a1a24b54a","Analyst",132095.0,0,0.0,0,0,0
"plan9718","308b962216","Accountant",73894.0,0,0.0,0,0,0
"plan9713","c384093ea5","Head of Marketing and Sales",142701.0,11,1569711.0,0,0,11
"plan9699","3d7d2b0b43","Secretary",113656.0,0,0.0,0,0,0
"plan9695","5714387792","Accountant",93597.0,0,0.0,0,0,0
"plan9692","62de1fcab8","Software Developer",90033.0,0,0.0,0,0,0
"plan9691","b5f52cce1e","Project Manager",90609.0,0,0.0,0,0,0
"plan9689","3bdd86cd18","Business Development Manager",54527.0,9,490743.0,0,0,9
"plan9688","b2e0c2a894","Designer",95755.0,5,478775.0,0,0,5
"plan9684","ec8fb4509c","Administrative Officer",125511.0,3,376533.0,0,0,3
"plan9683","4307ec672a","Researcher",113662.0,4,454648.0,0,0,4
"plan9682","7e569ae97e","Business Development Manager",87492.0,0,0.0,0,0,0
"plan9680","5c5139f60d","Head of Marketing and Sales",141729.0,7,992103.0,0,0,7
"plan9677","d5e361954e","Associate",102914.0,0,0.0,0,0,0
"plan9676","19bcb5fa95","Project Manager",145299.0,0,0.0,0,0,0
"plan9675","9806b08d90","Secretary",88805.0,0,0.0,0,0,0
"plan9670","47ca4083b9","Software Developer",141521.0,0,0.0,0,0,0
"plan9669","e5d95cb2a8","Researcher",129075.0,2,258150.0,0,0,2
"plan9664","a4e3c0b334","Business Development Manager",57970.0,0,0.0,0,0,0
"plan9660","d33d09d8ef","Project Manager",119080.0,0,0.0,0,0,0
"plan9658","9f1b304e4d","Accountant",137346.0,8,1098768.0,0,0,8
"plan9657","d55182c4c4","Project Manager",146935.0,0,0.0,0,0,0
"plan9651","4f2fb8c1c8","Business Development Manager",58370.0,0,0.0,0,0,0
"plan9648","38d47b0d56","Engineer",120749.0,0,0.0,0,0,0
"plan9647","770e54263d","Accountant",104603.0,5,523015.0,0,0,5
"plan9646","407461b7ec","Software Developer",50373.0,0,0.0,0,0,0
"plan9645","55ccb706ad","Researcher",99062.0,0,0.0,0,0,0
"plan9636","f4ae644a56","Administrative Officer",127732.0,10,1277320.0,0,0,10
"plan9634","a18babc3ab","Software Developer",53407.0,7,373849.0,0,0,7
"plan9630","6a55be1f58","Engineer",119066.0,0,0.0,0,0,0
"plan9629","b2eaec5a1e","Head of Marketing and Sales",95440.0,0,0.0,0,0,0
"plan9623","dcfc02bc64","Engineer",126783.0,0,0.0,0,0,0
"plan9619","07163c0020","Analyst",98865.0,11,1087515.0,0,0,11
"plan9618","c30f830716","Business Development Manager",60172.0,4,240688.0,0,0,4
"plan9617","f906ab50ff","Engineer",147591.0,0,0.0,0,0,0
"plan9612","eab33484df","Business Development Manager",84911.0,0,0.0,0,0,0
"plan9611","2e93a004a1","Analyst",123992.0,6,743952.0,0,0,6
"plan9610","b9994db8d7","HR Manager",119517.0,0,0.0,0,0,0
"plan9608","b37c0465e0","Associate",136108.0,6,816648.0,0,0,6
"plan9606","99d37eac9e","Software Developer",131524.0,7,920668.0,0,0,7
"plan9601","32ea6313ca","Designer",56042.0,0,0.0,0,0,0
"plan9600","5ee0c07889","Accountant",121901.0,0,0.0,0,0,0
"plan9598","7d96346490","Designer",81384.0,0,0.0,0,0,0
"plan9596","62aeaa9a83","HR Manager",124261.0,0,0.0,0,0,0
"plan9593","8c4b9c5029","Software Developer",137823.0,0,0.0,0,0,0
"plan9590","813e885121","Analyst",71904.0,0,0.0,0,0,0
"plan9585","5f45024fa5","HR Manager",65033.0,0,0.0,0,0,0
"plan9579","166e706a3b","Secretary",59702.0,6,358212.0,0,0,6
"plan9578","bf18cc48b2","Head of Marketing and Sales",95016.0,5,475080.0,0,0,5
"plan9577","983252936b","Head of Marketing and Sales",148623.0,5,743115.0,0,0,5
"plan9575","8d85299070","Researcher",82363.0,8,658904.0,0,0,8
"plan9573","f5f358499e","Secretary",80000.0,0,0.0,0,0,0
"plan9567","6ced2bb269","Secretary",103813.0,0,0.0,0,0,0
"plan9564","25ad294a92","Accountant",109264.0,5,546320.0,0,0,5
"plan9560","4c7eadfbf9","Administrative Officer",101756.0,0,0.0,0,0,0
"plan9556","eadee2ac77","Accountant",111503.0,0,0.0,0,0,0
"plan9555","485b477ef8","Software Developer",108775.0,0,0.0,0,0,0
"plan9550","ae0493b01f","Secretary",81675.0,0,0.0,0,0,0
"plan9549","08cc3e5810","Analyst",100887.0,0,0.0,0,0,0
"plan9546","fb6cc30f00","Researcher",128733.0,0,0.0,0,0,0
"plan9542","98230e046c","Head of Marketing and Sales",144056.0,4,576224.0,0,0,4
"plan9537","a02a4d0656","Associate",103915.0,0,0.0,0,0,0
"plan9533","0aab329e89","Software Developer",74779.0,0,0.0,0,0,0
"plan9531","0353ee0711","Analyst",109069.0,10,1090690.0,0,0,10
"plan9529","4067e959f8","Administrative Officer",50294.0,5,251470.0,0,0,5
"plan9523","086d92d728","Secretary",51787.0,0,0.0,0,0,0
"plan9521","da2f896c44","Associate",76476.0,3,229428.0,0,0,3
"plan9520","9f04498ecb","Analyst",109491.0,0,0.0,0,0,0
"plan9515","f9ebe639b2","Administrative Officer",112753.0,9,1014777.0,0,0,9
"plan9513","4178ebfe23","Accountant",92205.0,0,0.0,0,0,0
"plan9512","3d24dc0dd2","HR Manager",56019.0,3,168057.0,0,0,3
"plan9511","4a12f8e4bd","Engineer",69949.0,0,0.0,0,0,0
"plan9505","491a3f9d24","Administrative Officer",84388.0,0,0.0,0,0,0
"plan9501","b71a912256","Secretary",82833.0,0,0.0,0,0,0
"plan9498","241b63b962","Analyst",97954.0,9,881586.0,0,0,9
"plan9497","f2ca1604df","Accountant",130725.0,0,0.0,0,0,0
"plan9494","352b1b3935","Software Developer",96756.0,0,0.0,0,0,0
"plan9492","ef73b33532","Head of Marketing and Sales",99375.0,3,298125.0,0,0,3
"plan9491","3f94339833","Engineer",99973.0,0,0.0,0,0,0
"plan9486","816c8e2140","HR Manager",73439.0,0,0.0,0,0,0
"plan9485","b4f240c50e","Analyst",102760.0,0,0.0,0,0,0
"plan9483","a75b2d315c","Analyst",126259.0,0,0.0,0,0,0
"plan9481","99e581642a","Administrative Officer",91173.0,5,455865.0,0,0,5
"plan9480","b28f110b0b","Researcher",141977.0,0,0.0,0,0,0
"plan9479","b94d4b92cb","HR Manager",145250.0,3,435750.0,0,0,3
"plan9477","ae29edc062","Engineer",56879.0,9,511911.0,0,0,9
"plan9476","b363e29290","Engineer",138517.0,5,692585.0,0,0,5
"plan9473","9323c0d9c8","Researcher",66271.0,0,0.0,0,0,0
"plan9471","b5d6a98484","Researcher",51444.0,8,411552.0,0,0,8
"plan9470","966f2ad92a","Project Manager",93547.0,10,935470.0,0,0,10
"plan9469","0f4b0cf135","Secretary",126613.0,7,886291.0,0,0,7
"plan9468","0d5810544e","Secretary",89319.0,0,0.0,0,0,0
"plan9465","420e546f63","Designer",113698.0,0,0.0,0,0,0
"plan9464","feb142249d","Administrative Officer",139283.0,0,0.0,0,0,0
"plan9462","61b431df01","Business Development Manager",112137.0,0,0.0,0,0,0
"plan9461","0245efdefb","Associate",148924.0,0,0.0,0,0,0
"plan9459","c206753dfc","Engineer",134447.0,9,1210023.0,0,0,9
"plan9456","b9e936b1f5","Administrative Officer",59751.0,6,358506.0,0,0,6
"plan9455","00c0e02950","Project Manager",88064.0,0,0.0,0,0,0
"plan9454","29191adbf7","Analyst",81878.0,2,163756.0,0,0,2
"plan9453","4c9d657fa8","HR Manager",75183.0,0,0.0,0,0,0
"plan9451","9c7b69640f","Accountant",148151.0,0,0.0,0,0,0
"plan9448","c68818cce6","Head of Marketing and Sales",141969.0,0,0.0,0,0,0
"plan9447","2d3e58a7fb","Project Manager",58003.0,0,0.0,0,0,0
"plan9446","85565b927c","Designer",65851.0,0,0.0,0,0,0
"plan9444","c9fc538a51","Engineer",101326.0,0,0.0,0,0,0
"plan9443","0994bc8ecc","Designer",92586.0,0,0.0,0,0,0
"plan9441","350630fae0","Associate",142902.0,5,714510.0,0,0,5
"plan9440","ee5df4beea","Project Manager",99845.0,0,0.0,0,0,0
"plan9438","e5b6a7a48a","Associate",127067.0,6,762402.0,0,0,6
"plan9437","44a3d3682d","Associate",90407.0,4,361628.0,0,0,4
"plan9436","f32ed9f620","Analyst",96306.0,8,770448.0,0,0,8
"plan9434","d202246b54","Analyst",116079.0,3,348237.0,0,0,3
"plan9433","444e650fd2","Designer",104880.0,5,524400.0,0,0,5
"plan9431","de05abd424","Accountant",119657.0,2,239314.0,0,0,2
"plan9430","1166a14414","Business Development Manager",100847.0,0,0.0,0,0,0
"plan9428","4da0948a50","Secretary",103750.0,0,0.0,0,0,0
"plan9427","5adc2e9d97","Engineer",125745.0,8,1005960.0,0,0,8
"plan9422","16a468bcf0","Designer",95265.0,0,0.0,0,0,0
"plan9421","40174eca20","HR Manager",123936.0,0,0.0,0,0,0
"plan9420","819453fbb3","Administrative Officer",139568.0,0,0.0,0,0,0
"plan9418","7ad4c35944","Business Development Manager",122521.0,0,0.0,0,0,0
"plan9417","c5278c82f8","Head of Marketing and Sales",84125.0,5,420625.0,0,0,5
"plan9416","81528e7bd4","Engineer",108793.0,9,979137.0,0,0,9
"plan9415","6863a73398","Head of Marketing and Sales",132032.0,0,0.0,0,0,0
"plan9413","1809fcf0f7","Software Developer",115283.0,4,461132.0,0,0,4
"plan9412","a49cfe4d81","Designer",63436.0,8,507488.0,0,0,8
"plan9411","8c9da4aef3","Analyst",50270.0,0,0.0,0,0,0
"plan9409","6a0ca7dc40","HR Manager",134412.0,7,940884.0,0,0,7
"plan9408","bb57fe9c19","Software Developer",105244.0,9,947196.0,0,0,9
"plan9407","93fb9de4b2","Researcher",142239.0,0,0.0,0,0,0
"plan9406","9b49ad8a78","Administrative Officer",128426.0,0,0.0,0,0,0
"plan9404","cd56f2d95b","Engineer",69516.0,3,208548.0,0,0,3
"plan9403","bd6f0f9d71","Administrative Officer",130030.0,3,390090.0,0,0,3
"plan9402","9c2d3cbae3","Researcher",78769.0,3,236307.0,0,0,3
"plan9401","3cdd2dcfa7","HR Manager",80612.0,0,0.0,0,0,0
"plan9400","66bc42fee9","Business Development Manager",131570.0,0,0.0,0,0,0
"plan9399","95e253bb32","Associate",60639.0,0,0.0,0,0,0
"plan9398","f4622f06c0","Head of Marketing and Sales",79562.0,7,556934.0,0,0,7
"plan9395","b84f186a74","Researcher",130544.0,10,1305440.0,0,0,10
"plan9394","0b9e9e24d2","Business Development Manager",92848.0,0,0.0,0,0,0
"plan9391","969fad3dba","HR Manager",81961.0,2,163922.0,0,0,2
"plan9388","5d0a379dc2","Administrative Officer",51202.0,0,0.0,0,0,0
"plan9387","c2879526bc","Software Developer",112185.0,0,0.0,0,0,0
"plan9386","b6257f700e","Associate",117537.0,5,587685.0,0,0,5
"plan9384","4d1189ae6d","Accountant",52952.0,0,0.0,0,0,0
"plan9383","673d6b480e","Software Developer",100405.0,9,903645.0,0,0,9
"plan9381","43b55812c9","Designer",139030.0,0,0.0,0,0,0
"plan9379","279993d95f","Software Developer",132375.0,0,0.0,0,0,0
"plan9376","8c53fb5316","Associate",113188.0,0,0.0,0,0,0
"plan9375","cc2e6b0075","Accountant",112754.0,0,0.0,0,0,0
"plan9374","a4862e540d","Software Developer",94734.0,5,473670.0,0,0,5
"plan9373","0255951053","Project Manager",130112.0,0,0.0,0,0,0
"plan9372","f1a30c3c00","Business Development Manager",138433.0,0,0.0,0,0,0
"plan9370","cd40f6cb81","Head of Marketing and Sales",101039.0,5,505195.0,0,0,5
"plan9369","b6a005dafe","Designer",55886.0,10,558860.0,0,0,10
"plan9367","2b86b9c78c","Secretary",116896.0,0,0.0,0,0,0
"plan9366","f21019288e","Associate",83943.0,0,0.0,0,0,0
"plan9365","c16f64b6b8","Associate",96902.0,0,0.0,0,0,0
"plan9364","691b5d45a5","Secretary",61054.0,0,0.0,0,0,0
"plan9362","d83524395c","Software Developer",79627.0,2,159254.0,0,0,2
"plan9361","d76e79e1c0","Administrative Officer",107121.0,5,535605.0,0,0,5
"plan9360","9256392d96","Business Development Manager",118337.0,2,236674.0,0,0,2
"plan9359","233c7963de","Associate",139141.0,7,973987.0,0,0,7
"plan9358","0322d2f2d7","HR Manager",145716.0,9,1311444.0,0,0,9
"plan9357","f343203525","Researcher",119604.0,7,837228.0,0,0,7
"plan9356","02e8b45789","Project Manager",119798.0,0,0.0,0,0,0
"plan9355","d5d16a5663","HR Manager",104783.0,0,0.0,0,0,0
"plan9352","6c6add12ef","Project Manager",55938.0,0,0.0,0,0,0
"plan9349","d615408b43","Business Development Manager",139648.0,10,1396480.0,0,0,10
"plan9348","a8f8f5c379","HR Manager",123845.0,8,990760.0,0,0,8
"plan9347","9cbb35c217","Secretary",99940.0,9,899460.0,0,0,9
"plan9346","3dff58dc5b","Designer",96576.0,0,0.0,0,0,0
"plan9345","2a4c204cea","Project Manager",79986.0,6,479916.0,0,0,6
"plan9344","a95042e275","Business Development Manager",58266.0,0,0.0,0,0,0
"plan9342","e3b076b0de","Business Development Manager",126190.0,10,1261900.0,0,0,10
"plan9341","6755b73d68","Accountant",71028.0,5,355140.0,0,0,5
"plan9340","19d7efe12b","Engineer",101858.0,2,203716.0,0,0,2
"plan9339","5b05478f81","Analyst",63694.0,5,318470.0,0,0,5
"plan9338","f579c99807","Accountant",107259.0,0,0.0,0,0,0
"plan9336","05d648afe7","Accountant",72440.0,9,651960.0,0,0,9
"plan9335","6168c99914","Secretary",133962.0,11,1473582.0,0,0,11
"plan9334","6bff416a4b","Designer",106981.0,0,0.0,0,0,0
"plan9333","34bb79ce26","Software Developer",64948.0,11,714428.0,0,0,11
"plan9331","5d7c7eb546","Engineer",66772.0,11,734492.0,0,0,11
"plan9329","ed3b4acdb3","Project Manager",137089.0,7,959623.0,0,0,7
"plan9328","9919748c59","Administrative Officer",97850.0,8,782800.0,0,0,8
"plan9327","4557cc0c73","Project Manager",62477.0,10,624770.0,0,0,10
"plan9326","0da2f7e2b2","Accountant",113124.0,0,0.0,0,0,0
"plan9324","2313c40a37","Researcher",50376.0,9,453384.0,0,0,9
"plan9323","6edc640596","Designer",83961.0,5,419805.0,0,0,5
"plan9322","c59953732c","Head of Marketing and Sales",121669.0,4,486676.0,0,0,4
"plan9321","575ba7ae4b","Accountant",81077.0,4,324308.0,0,0,4
"plan9320","ae728c4755","Software Developer",147095.0,2,294190.0,0,0,2
"plan9319","44751041b9","Associate",135182.0,2,270364.0,0,0,2
"plan9318","0023940577","Head of Marketing and Sales",139736.0,0,0.0,0,0,0
"plan9313","8efaca59b4","Designer",117504.0,0,0.0,0,0,0
"plan9312","0904d3a459","Secretary",112233.0,6,673398.0,0,0,6
"plan9310","56b75d3ae5","HR Manager",59173.0,10,591730.0,0,0,10
"plan9337","e21eb5efcf","HR Manager",82787.0,5,413935.0,0,0,5
"plan9325","0a58d27d6b","Designer",122227.0,0,0.0,0,0,0
"plan9317","ee03cd548c","Secretary",112124.0,7,784868.0,0,0,7
"plan9316","e50960af76","Engineer",76143.0,11,837573.0,0,0,11
"plan9315","0211681361","Business Development Manager",131371.0,0,0.0,0,0,0
"plan9314","754d29b389","Engineer",145232.0,10,1452320.0,0,0,10
"plan9311","2fd4a8b5c5","Researcher",128989.0,0,0.0,0,0,0
"plan9309","c524e32150","Engineer",71561.0,0,0.0,0,0,0
"plan9308","034b15068b","Software Developer",133119.0,0,0.0,0,0,0
"plan9303","a7dd771390","Researcher",65789.0,0,0.0,0,0,0
"plan9300","db3e37a79c","Researcher",126320.0,10,1263200.0,0,0,10
"plan9299","db748a9799","Software Developer",63670.0,0,0.0,0,0,0
"plan9298","98dc07397d","Software Developer",111058.0,0,0.0,0,0,0
"plan9295","f657689195","Researcher",118373.0,9,1065357.0,0,0,9
"plan9292","3b622bd9ec","Administrative Officer",107512.0,0,0.0,0,0,0
"plan9290","de0bdc44bd","Administrative Officer",76278.0,0,0.0,0,0,0
"plan9288","b861e56f78","Secretary",85937.0,2,171874.0,0,0,2
"plan9283","47bb357715","Secretary",101185.0,2,202370.0,0,0,2
"plan9277","95d79131e2","Analyst",105686.0,0,0.0,0,0,0
"plan9275","29675573f2","Researcher",58701.0,0,0.0,0,0,0
"plan9273","31cf08f2b1","Secretary",140089.0,3,420267.0,0,0,3
"plan9250","cac5bc7666","Business Development Manager",54486.0,2,108972.0,0,0,2
"plan9249","5a11cae673","Designer",125602.0,0,0.0,0,0,0
"plan9244","1975a61d1e","Secretary",84528.0,0,0.0,0,0,0
"plan9243","4aa15fbb01","Designer",62083.0,0,0.0,0,0,0
"plan9237","351aec2ec8","Software Developer",83999.0,0,0.0,0,0,0
"plan9235","cec75f6cd0","Software Developer",101961.0,0,0.0,0,0,0
"plan9231","a9da537880","Analyst",91814.0,0,0.0,0,0,0
"plan9229","a863bb6fdf","Secretary",61599.0,0,0.0,0,0,0
"plan9222","e4a41dda01","Associate",86320.0,11,949520.0,0,0,11
"plan9220","46969cc877","Secretary",109261.0,10,1092610.0,0,0,10
"plan9217","8f92d5efdd","Business Development Manager",91565.0,0,0.0,0,0,0
"plan9214","750a3444a6","Designer",100841.0,0,0.0,0,0,0
"plan9210","1eeb16ece4","Analyst",92013.0,4,368052.0,0,0,4
"plan9194","7142fa3bb0","Engineer",117209.0,0,0.0,0,0,0
"plan9191","1446d53f62","Associate",68419.0,0,0.0,0,0,0
"plan9190","9b0f0e1e42","Secretary",84398.0,0,0.0,0,0,0
"plan9189","175bdce720","HR Manager",134683.0,0,0.0,0,0,0
"plan9186","3dbcc86169","Accountant",50582.0,0,0.0,0,0,0
"plan9185","4a5b13d8c6","Project Manager",107195.0,0,0.0,0,0,0
"plan9181","090c7210e8","Head of Marketing and Sales",115866.0,0,0.0,0,0,0
"plan9176","96123a7f93","Researcher",83277.0,0,0.0,0,0,0
"plan9166","15aaa48ebb","Engineer",56368.0,0,0.0,0,0,0
"plan9165","382d2eecfe","Associate",72922.0,0,0.0,0,0,0
"plan9163","a0b7cc7fe2","Associate",120613.0,6,723678.0,0,0,6
"plan9162","ad7fd040f9","Researcher",91665.0,0,0.0,0,0,0
"plan9158","eb6e330057","Secretary",87211.0,0,0.0,0,0,0
"plan9157","9be207f381","Project Manager",60169.0,0,0.0,0,0,0
"plan9154","5d0ddf4605","Associate",110082.0,9,990738.0,0,0,9
"plan9152","83356077ed","Associate",81715.0,0,0.0,0,0,0
"plan9149","2f1421464a","Head of Marketing and Sales",67079.0,0,0.0,0,0,0
"plan9148","dd1091d3f4","Researcher",125236.0,0,0.0,0,0,0
"plan9142","f990a68cff","Software Developer",116688.0,0,0.0,0,0,0
"plan9140","3cb158b1de","Administrative Officer",75304.0,9,677736.0,0,0,9
"plan9136","25bf49e737","Designer",50839.0,0,0.0,0,0,0
