"ID","ID (Staffing Plan Detail)","Vacancies (Staffing Plan Detail)","Total Estimated Cost (Staffing Plan Detail)","Current Openings (Staffing Plan Detail)","Designation (Staffing Plan Detail)","Estimated Cost Per Position (Staffing Plan Detail)","Current Count (Staffing Plan Detail)","Number Of Positions (Staffing Plan Detail)"
"plan2701","1747e8a4ce",7,564459.0,0,"Software Developer",80637.0,0,7
"plan2700","af9d126790",3,448617.0,0,"Engineer",149539.0,0,3
"plan2699","c41f4befcc",0,0.0,0,"Business Development Manager",143023.0,0,0
"plan2698","804364c409",0,0.0,0,"Software Developer",64359.0,0,0
"plan2696","a9317decf0",0,0.0,0,"Analyst",118690.0,0,0
"plan2695","5195fa9d63",0,0.0,0,"Business Development Manager",117599.0,0,0
"plan2693","9c19b25600",6,327810.0,0,"HR Manager",54635.0,0,6
"plan2692","2f183b5215",0,0.0,0,"Designer",125362.0,0,0
"plan2691","9699a3a1e9",10,1022260.0,0,"Software Developer",102226.0,0,10
"plan2690","60bda81ddd",5,638765.0,0,"Head of Marketing and Sales",127753.0,0,5
"plan2688","d22532471e",11,746856.0,0,"HR Manager",67896.0,0,11
"plan2687","58d03d27c6",0,0.0,0,"Project Manager",91927.0,0,0
"plan2686","6531a0d5ee",0,0.0,0,"Business Development Manager",115252.0,0,0
"plan2685","dd48b574f6",3,399966.0,0,"Engineer",133322.0,0,3
"plan2682","60ba612d53",10,1345660.0,0,"Analyst",134566.0,0,10
"plan2681","c8e4f0a3c9",0,0.0,0,"HR Manager",70458.0,0,0
"plan2680","8663a21601",0,0.0,0,"HR Manager",53098.0,0,0
"plan2679","21e1799322",0,0.0,0,"Software Developer",109966.0,0,0
"plan2677","13f0b413a9",0,0.0,0,"Associate",69571.0,0,0
"plan2675","932ae09fb0",5,731180.0,0,"Analyst",146236.0,0,5
"plan2674","0eefd25402",0,0.0,0,"Accountant",139881.0,0,0
"plan2673","31aabcb3da",0,0.0,0,"Analyst",91844.0,0,0
"plan2671","96f7d4e6d3",7,430164.0,0,"Project Manager",61452.0,0,7
"plan2670","7189258643",0,0.0,0,"Software Developer",72817.0,0,0
"plan2668","a221c605a3",0,0.0,0,"Secretary",138170.0,0,0
"plan2665","b8d2cb6d15",8,795416.0,0,"Administrative Officer",99427.0,0,8
"plan2662","b21ddb1ad8",6,740742.0,0,"Engineer",123457.0,0,6
"plan2661","095d83131c",11,688875.0,0,"HR Manager",62625.0,0,11
"plan2658","e374aca7a8",10,1158700.0,0,"HR Manager",115870.0,0,10
"plan2657","ee891619c5",6,721314.0,0,"Accountant",120219.0,0,6
"plan2654","5f28c94442",0,0.0,0,"Associate",130842.0,0,0
"plan2652","2dcded1ded",9,515844.0,0,"Researcher",57316.0,0,9
"plan2651","3981c5f633",7,904778.0,0,"Analyst",129254.0,0,7
"plan2650","cc6f9d164b",2,186726.0,0,"Accountant",93363.0,0,2
"plan2649","d7787a6ac9",0,0.0,0,"Associate",110826.0,0,0
"plan2648","7d0fa6de7f",4,459436.0,0,"Secretary",114859.0,0,4
"plan2642","d36285bc95",0,0.0,0,"Head of Marketing and Sales",78016.0,0,0
"plan2640","1424eaec7f",2,270014.0,0,"Analyst",135007.0,0,2
"plan2639","e5d4d98d34",9,1265022.0,0,"Accountant",140558.0,0,9
"plan2638","3f7a263fa4",5,553230.0,0,"Project Manager",110646.0,0,5
"plan2637","be8f00e93e",7,398398.0,0,"Business Development Manager",56914.0,0,7
"plan2636","3460576236",0,0.0,0,"HR Manager",136603.0,0,0
"plan2635","6a31a9b6b2",6,363120.0,0,"Secretary",60520.0,0,6
"plan2634","d4a6587625",0,0.0,0,"Software Developer",138922.0,0,0
"plan2633","287d552c0c",11,1143714.0,0,"Designer",103974.0,0,11
"plan2631","0e311cc334",0,0.0,0,"Designer",59537.0,0,0
"plan2630","76eae0a5bb",0,0.0,0,"Analyst",114547.0,0,0
"plan2628","380b98a186",0,0.0,0,"Business Development Manager",89016.0,0,0
"plan2627","14db4d3bd0",7,437577.0,0,"Head of Marketing and Sales",62511.0,0,7
"plan2626","c2e516f98d",0,0.0,0,"Head of Marketing and Sales",102017.0,0,0
"plan2625","c8d7ac7adb",8,767696.0,0,"Administrative Officer",95962.0,0,8
"plan2623","16ab233896",4,521916.0,0,"Engineer",130479.0,0,4
"plan2622","d5c5e1fc11",9,678843.0,0,"Designer",75427.0,0,9
"plan2621","e9329f8615",0,0.0,0,"HR Manager",59434.0,0,0
"plan2620","2428fe1e44",11,962038.0,0,"Accountant",87458.0,0,11
"plan2618","9d2ebfb463",5,608230.0,0,"Engineer",121646.0,0,5
"plan2616","b6e5ddca41",7,943740.0,0,"Software Developer",134820.0,0,7
"plan2615","00c36fc6f7",0,0.0,0,"HR Manager",64707.0,0,0
"plan2614","9afa11619b",3,348588.0,0,"Secretary",116196.0,0,3
"plan2612","42375a61ce",7,661353.0,0,"Head of Marketing and Sales",94479.0,0,7
"plan2611","a23fd22250",0,0.0,0,"Accountant",59576.0,0,0
"plan2610","54d42ef77e",3,206466.0,0,"Engineer",68822.0,0,3
"plan2609","efb0996222",6,760716.0,0,"Designer",126786.0,0,6
"plan2608","66c842cb3c",0,0.0,0,"Accountant",92421.0,0,0
"plan2607","4bb22b8882",0,0.0,0,"Associate",81879.0,0,0
"plan2606","d6d4cf1c55",0,0.0,0,"Software Developer",86019.0,0,0
"plan2604","fbb2f2c7be",11,1179893.0,0,"HR Manager",107263.0,0,11
"plan2603","11d4f55c16",0,0.0,0,"Business Development Manager",115783.0,0,0
"plan2602","b43f002e3c",9,877302.0,0,"Head of Marketing and Sales",97478.0,0,9
"plan2601","16a95002e1",11,1162282.0,0,"Project Manager",105662.0,0,11
"plan2598","97dd5b024b",4,301084.0,0,"Head of Marketing and Sales",75271.0,0,4
"plan2597","d7e4ba78a1",3,207657.0,0,"Secretary",69219.0,0,3
"plan2596","295497ac65",0,0.0,0,"Engineer",142910.0,0,0
"plan2595","06408cd485",0,0.0,0,"HR Manager",112516.0,0,0
"plan2593","e3715ed912",6,551718.0,0,"Business Development Manager",91953.0,0,6
"plan2592","e7d46a272b",0,0.0,0,"Designer",56972.0,0,0
"plan2591","ed1190ae31",2,154868.0,0,"Secretary",77434.0,0,2
"plan2590","78c36b82ad",0,0.0,0,"Head of Marketing and Sales",131137.0,0,0
"plan2589","c8f54e32d1",11,1588477.0,0,"Business Development Manager",144407.0,0,11
"plan2587","e83644c328",6,653802.0,0,"Head of Marketing and Sales",108967.0,0,6
"plan2586","c5ba2dd351",0,0.0,0,"Secretary",135359.0,0,0
"plan2585","07f2607d8f",8,685528.0,0,"Analyst",85691.0,0,8
"plan2584","1fa5229dac",4,271680.0,0,"Project Manager",67920.0,0,4
"plan2582","352388d260",0,0.0,0,"Secretary",142813.0,0,0
"plan2581","a963265313",0,0.0,0,"Administrative Officer",119382.0,0,0
"plan2579","6bd2610d03",7,800709.0,0,"Software Developer",114387.0,0,7
"plan2578","5749659293",10,731130.0,0,"Engineer",73113.0,0,10
"plan2577","d2b1e38ebd",5,640135.0,0,"Administrative Officer",128027.0,0,5
"plan2576","f66bb4fcbc",3,384582.0,0,"Secretary",128194.0,0,3
"plan2575","16af995aff",9,1204353.0,0,"Project Manager",133817.0,0,9
"plan2572","0081803684",6,556854.0,0,"Secretary",92809.0,0,6
"plan2571","8d835929c6",2,236380.0,0,"Analyst",118190.0,0,2
"plan2569","73160c4a0b",10,1192710.0,0,"Engineer",119271.0,0,10
"plan2567","c0d0cdedc2",0,0.0,0,"Engineer",76839.0,0,0
"plan2566","3db336a9af",0,0.0,0,"Accountant",129477.0,0,0
"plan2565","623420df17",0,0.0,0,"Administrative Officer",101077.0,0,0
"plan2562","0790f4eff5",11,1614866.0,0,"Researcher",146806.0,0,11
"plan2560","312dd14ff3",5,698685.0,0,"Accountant",139737.0,0,5
"plan2559","b453a616f8",0,0.0,0,"Project Manager",147470.0,0,0
"plan2558","4279ecb4fd",0,0.0,0,"Administrative Officer",109768.0,0,0
"plan2557","45bf949117",6,885192.0,0,"Administrative Officer",147532.0,0,6
"plan2555","e9418ef6d6",5,578910.0,0,"Analyst",115782.0,0,5
"plan2554","7371bff40d",11,1216688.0,0,"Associate",110608.0,0,11
"plan2553","4d623a9fbd",5,551975.0,0,"Accountant",110395.0,0,5
"plan2552","df7fbe87e5",9,891810.0,0,"Head of Marketing and Sales",99090.0,0,9
"plan2551","1e6a0bd3f6",2,123660.0,0,"Head of Marketing and Sales",61830.0,0,2
"plan2550","bbc5f82c2e",10,562660.0,0,"HR Manager",56266.0,0,10
"plan2549","e05649f4a1",4,387116.0,0,"Software Developer",96779.0,0,4
"plan2547","72a3bda0d2",8,1045256.0,0,"Administrative Officer",130657.0,0,8
"plan2546","5ae52c491d",3,277950.0,0,"Associate",92650.0,0,3
"plan2545","17f5294914",0,0.0,0,"Accountant",55889.0,0,0
"plan2544","90c28a44bb",8,920864.0,0,"Project Manager",115108.0,0,8
"plan2543","8b50a3bada",2,200680.0,0,"Analyst",100340.0,0,2
"plan2541","3e699538ca",0,0.0,0,"Engineer",82385.0,0,0
"plan2540","81c21405a7",0,0.0,0,"Business Development Manager",89133.0,0,0
"plan2539","1623f4af96",0,0.0,0,"Business Development Manager",77382.0,0,0
"plan2537","deed09b915",0,0.0,0,"Project Manager",58381.0,0,0
"plan2536","8934aa3fd1",0,0.0,0,"Administrative Officer",143371.0,0,0
"plan2535","aebc92bd64",0,0.0,0,"Head of Marketing and Sales",126926.0,0,0
"plan2533","101949bb0a",0,0.0,0,"Engineer",130920.0,0,0
"plan2532","40915f91ec",0,0.0,0,"Accountant",69345.0,0,0
"plan2531","e8fadfe3d3",10,581850.0,0,"Administrative Officer",58185.0,0,10
"plan2529","7d38328dad",0,0.0,0,"Business Development Manager",86107.0,0,0
"plan2528","180b374c66",0,0.0,0,"Software Developer",145111.0,0,0
"plan2526","e47982a61a",4,383052.0,0,"Accountant",95763.0,0,4
"plan2525","e81e504ce4",11,1571240.0,0,"Designer",142840.0,0,11
"plan2524","38053c600b",0,0.0,0,"Researcher",91795.0,0,0
"plan2523","e5a3bc6de8",4,553664.0,0,"Administrative Officer",138416.0,0,4
"plan2520","69b88b528d",9,582363.0,0,"HR Manager",64707.0,0,9
"plan2519","5c5e2d587a",3,259791.0,0,"Researcher",86597.0,0,3
"plan2518","c2dbc28d8d",2,202690.0,0,"Associate",101345.0,0,2
"plan2517","6d9b7cba0d",0,0.0,0,"HR Manager",82376.0,0,0
"plan2516","5c71e35b89",10,931740.0,0,"Researcher",93174.0,0,10
"plan2514","cf8838febf",11,551694.0,0,"Associate",50154.0,0,11
"plan2513","f46d625f51",6,530436.0,0,"Researcher",88406.0,0,6
"plan2512","9b37e7c86b",3,295719.0,0,"Head of Marketing and Sales",98573.0,0,3
"plan2511","679b49099d",0,0.0,0,"Business Development Manager",113745.0,0,0
"plan2510","f0a79032dd",0,0.0,0,"Project Manager",129368.0,0,0
"plan2509","d8de37a9a3",5,621240.0,0,"Project Manager",124248.0,0,5
"plan2507","6638b1ccf2",5,433270.0,0,"Secretary",86654.0,0,5
"plan2506","b92f7414f6",10,704500.0,0,"Designer",70450.0,0,10
"plan2505","8cf5655bac",7,761313.0,0,"Researcher",108759.0,0,7
"plan2504","940949f475",3,353100.0,0,"Project Manager",117700.0,0,3
"plan2503","d7b31c7750",0,0.0,0,"Secretary",141609.0,0,0
"plan2502","4989b7ba86",6,509838.0,0,"HR Manager",84973.0,0,6
"plan2501","aa19e16374",0,0.0,0,"Software Developer",63698.0,0,0
"plan2500","002bc20e09",3,397518.0,0,"Business Development Manager",132506.0,0,3
"plan2498","e3a3610a1c",0,0.0,0,"Engineer",50974.0,0,0
"plan2497","95fc74c81a",0,0.0,0,"Accountant",138319.0,0,0
"plan2495","f9d5647bb3",5,593880.0,0,"Engineer",118776.0,0,5
"plan2493","4a0adfe797",2,214596.0,0,"Secretary",107298.0,0,2
"plan2492","af8c27a624",0,0.0,0,"Head of Marketing and Sales",101808.0,0,0
"plan2491","43315b13a7",8,778008.0,0,"Business Development Manager",97251.0,0,8
"plan2490","ed9da784ea",3,294828.0,0,"Designer",98276.0,0,3
"plan2489","55991a2822",6,349248.0,0,"Head of Marketing and Sales",58208.0,0,6
"plan2488","c0a9a8b21a",2,289054.0,0,"Head of Marketing and Sales",144527.0,0,2
"plan2487","5fdbccc490",8,618416.0,0,"Head of Marketing and Sales",77302.0,0,8
"plan2486","f8a732ce49",0,0.0,0,"Engineer",64375.0,0,0
"plan2485","12aa6a4abc",0,0.0,0,"Secretary",98156.0,0,0
"plan2484","07af5a29fd",0,0.0,0,"Software Developer",132526.0,0,0
"plan2483","4f5bd130c9",0,0.0,0,"Administrative Officer",56764.0,0,0
"plan2482","183f9d0f93",5,736805.0,0,"Software Developer",147361.0,0,5
"plan2481","02d65344f8",10,971760.0,0,"Associate",97176.0,0,10
"plan2480","b4d1a5cd71",2,176852.0,0,"Head of Marketing and Sales",88426.0,0,2
"plan2479","57c77ce0d7",6,326142.0,0,"HR Manager",54357.0,0,6
"plan2478","2c5987e9c9",2,293966.0,0,"Business Development Manager",146983.0,0,2
"plan2477","84e285468a",6,340146.0,0,"Accountant",56691.0,0,6
"plan2476","2f28e7ca76",4,542616.0,0,"Administrative Officer",135654.0,0,4
"plan2474","26cd1b215f",0,0.0,0,"Head of Marketing and Sales",148309.0,0,0
"plan2473","9efd646267",0,0.0,0,"Analyst",110592.0,0,0
"plan2472","edfc262e7f",0,0.0,0,"Analyst",147299.0,0,0
"plan2471","0f3dc07226",11,994323.0,0,"Engineer",90393.0,0,11
"plan2470","dda44da858",5,380670.0,0,"Researcher",76134.0,0,5
"plan2469","b89ff7dc74",7,786667.0,0,"Researcher",112381.0,0,7
"plan2468","0912169e3d",3,296499.0,0,"Analyst",98833.0,0,3
"plan2467","822caa7e66",0,0.0,0,"Administrative Officer",126179.0,0,0
"plan2466","30b2c15d98",0,0.0,0,"Administrative Officer",97649.0,0,0
"plan2465","b65cdf684a",0,0.0,0,"Head of Marketing and Sales",106140.0,0,0
"plan2464","5488d53c11",0,0.0,0,"Analyst",114053.0,0,0
"plan2462","05e53482f0",7,476294.0,0,"Project Manager",68042.0,0,7
"plan2461","152ac5cde3",0,0.0,0,"Designer",125185.0,0,0
"plan2459","976b9664e7",0,0.0,0,"HR Manager",147151.0,0,0
"plan2458","29ba773c4c",5,259025.0,0,"Project Manager",51805.0,0,5
"plan2457","634bdce297",5,329215.0,0,"HR Manager",65843.0,0,5
"plan2456","b327f2e020",10,724960.0,0,"Accountant",72496.0,0,10
"plan2455","9e8009519c",0,0.0,0,"Designer",121550.0,0,0
"plan2454","913c46d2d4",0,0.0,0,"Designer",58652.0,0,0
"plan2453","320e06e222",11,667667.0,0,"Secretary",60697.0,0,11
"plan2452","8e1f7d5feb",7,1004766.0,0,"Associate",143538.0,0,7
"plan2450","effc955072",10,1342930.0,0,"Accountant",134293.0,0,10
"plan2447","20643f5e4b",7,983178.0,0,"Administrative Officer",140454.0,0,7
"plan2446","ae84e72bef",7,380555.0,0,"Engineer",54365.0,0,7
"plan2445","d93734c543",4,449084.0,0,"Researcher",112271.0,0,4
"plan2444","8c52597708",9,726804.0,0,"Accountant",80756.0,0,9
"plan2443","1c82332f59",7,634921.0,0,"Business Development Manager",90703.0,0,7
"plan2442","40f716cb22",0,0.0,0,"Secretary",82528.0,0,0
"plan2441","180cb02066",0,0.0,0,"Software Developer",113884.0,0,0
"plan2440","ff6583bd6d",0,0.0,0,"Project Manager",145951.0,0,0
"plan2439","ce2f2e4682",6,432798.0,0,"Software Developer",72133.0,0,6
"plan2438","9f3a76a3e2",9,979155.0,0,"HR Manager",108795.0,0,9
"plan2437","7ccf2ec89e",0,0.0,0,"Designer",136600.0,0,0
"plan2434","10aa085f1d",6,506460.0,0,"Associate",84410.0,0,6
"plan2433","5e1f6c61d5",0,0.0,0,"HR Manager",77381.0,0,0
"plan2432","3e1ce3501d",0,0.0,0,"Business Development Manager",140557.0,0,0
"plan2431","632508c05a",0,0.0,0,"Designer",94026.0,0,0
"plan2430","cbc6fe3046",0,0.0,0,"Designer",63999.0,0,0
"plan2428","29db8df39c",0,0.0,0,"Administrative Officer",123356.0,0,0
"plan2427","3d1823df13",0,0.0,0,"Engineer",136957.0,0,0
"plan2426","dd9a7ef253",2,269506.0,0,"Secretary",134753.0,0,2
"plan2425","28200519e5",6,457404.0,0,"Business Development Manager",76234.0,0,6
"plan2424","b767f8b408",0,0.0,0,"Researcher",54082.0,0,0
"plan2423","f13e076a7b",0,0.0,0,"Researcher",77606.0,0,0
"plan2422","dcec58ac57",0,0.0,0,"Administrative Officer",112215.0,0,0
"plan2421","cb89f148b0",0,0.0,0,"HR Manager",58611.0,0,0
"plan2420","07d275fea2",8,577160.0,0,"Secretary",72145.0,0,8
"plan2419","b6c989b97e",0,0.0,0,"Engineer",97313.0,0,0
"plan2418","66d0b14e3f",7,766556.0,0,"Designer",109508.0,0,7
"plan2417","06ba54ee84",0,0.0,0,"Designer",62031.0,0,0
"plan2416","72b06c234e",0,0.0,0,"Associate",66595.0,0,0
"plan2415","f73ea84322",0,0.0,0,"Associate",72300.0,0,0
"plan2414","f7de75ca06",0,0.0,0,"Analyst",63980.0,0,0
"plan2413","98987d740d",6,590364.0,0,"Head of Marketing and Sales",98394.0,0,6
"plan2412","07b31ff374",5,493185.0,0,"Software Developer",98637.0,0,5
"plan2411","935e89a3af",0,0.0,0,"Software Developer",128491.0,0,0
"plan2410","4abcf2a882",8,737784.0,0,"Researcher",92223.0,0,8
"plan2409","3bbb320941",8,498168.0,0,"Designer",62271.0,0,8
"plan2408","bca131facd",3,227175.0,0,"Analyst",75725.0,0,3
"plan2407","a0b93c38ad",4,518996.0,0,"Head of Marketing and Sales",129749.0,0,4
"plan2406","ca0dc191ed",0,0.0,0,"Designer",91201.0,0,0
"plan2404","69000603ed",6,702978.0,0,"Project Manager",117163.0,0,6
"plan2403","25ff029902",0,0.0,0,"Secretary",122760.0,0,0
"plan2402","4a73e1ae45",0,0.0,0,"Project Manager",60851.0,0,0
"plan2401","31ff25a32c",0,0.0,0,"Researcher",131066.0,0,0
"plan2400","8b1ecf26ec",0,0.0,0,"Accountant",95325.0,0,0
"plan2399","ae15579148",2,162782.0,0,"Administrative Officer",81391.0,0,2
"plan2397","07a1fb3325",7,512358.0,0,"Head of Marketing and Sales",73194.0,0,7
"plan2395","bf4bdb7a79",2,122086.0,0,"Head of Marketing and Sales",61043.0,0,2
"plan2394","fbcaa9cc9b",0,0.0,0,"Secretary",144338.0,0,0
"plan2393","acf9f90c97",0,0.0,0,"Associate",87231.0,0,0
"plan2392","dc267b8f86",3,257904.0,0,"Designer",85968.0,0,3
"plan2390","2dfd91f8bf",6,344856.0,0,"Business Development Manager",57476.0,0,6
"plan2389","a148d76e95",9,702918.0,0,"Accountant",78102.0,0,9
"plan2388","e1ec883be9",11,586498.0,0,"Administrative Officer",53318.0,0,11
"plan2386","ad4487bb17",0,0.0,0,"Project Manager",126763.0,0,0
"plan2385","c67abc937d",6,306336.0,0,"Researcher",51056.0,0,6
"plan2382","b4bd806c56",8,404192.0,0,"Accountant",50524.0,0,8
"plan2380","db0c0cf43c",4,356708.0,0,"Software Developer",89177.0,0,4
"plan2379","a1535516df",4,380764.0,0,"Project Manager",95191.0,0,4
"plan2377","f81aa92ffe",10,1454550.0,0,"Business Development Manager",145455.0,0,10
"plan2374","ac0de65eb9",11,1563067.0,0,"HR Manager",142097.0,0,11
"plan2372","42e593eefe",0,0.0,0,"Secretary",120098.0,0,0
"plan2368","a9d6c2f838",0,0.0,0,"Head of Marketing and Sales",74976.0,0,0
"plan2367","17e4793f49",2,213762.0,0,"Analyst",106881.0,0,2
"plan2365","60dfcda820",0,0.0,0,"Project Manager",70107.0,0,0
"plan2364","87ff21aab7",0,0.0,0,"Head of Marketing and Sales",110130.0,0,0
"plan2361","63684a28b2",0,0.0,0,"Analyst",104793.0,0,0
"plan2360","aeb4772e2d",0,0.0,0,"Administrative Officer",95123.0,0,0
"plan2357","e8361a43ba",11,1509299.0,0,"Head of Marketing and Sales",137209.0,0,11
"plan2356","5d9caaa82f",11,1171049.0,0,"Secretary",106459.0,0,11
"plan2355","5411c5fb62",5,585785.0,0,"Business Development Manager",117157.0,0,5
"plan2354","7a619018ab",10,1078340.0,0,"Researcher",107834.0,0,10
"plan2353","534601f523",0,0.0,0,"Administrative Officer",77048.0,0,0
"plan2352","fd2e19a28f",0,0.0,0,"Engineer",114524.0,0,0
"plan2351","9e5a8fdae0",7,936488.0,0,"Business Development Manager",133784.0,0,7
"plan2349","7af146d894",9,548199.0,0,"Associate",60911.0,0,9
"plan2347","cf505462c3",11,1122836.0,0,"Engineer",102076.0,0,11
"plan2346","aff1370b49",0,0.0,0,"Accountant",61838.0,0,0
"plan2345","7ac7b3436d",10,1168780.0,0,"Engineer",116878.0,0,10
"plan2344","ca80bf2741",0,0.0,0,"Analyst",149145.0,0,0
"plan2342","a34db66794",0,0.0,0,"Designer",99576.0,0,0
"plan2339","27a8bc8606",0,0.0,0,"Project Manager",50142.0,0,0
"plan2336","bdcc77ef04",3,444672.0,0,"Head of Marketing and Sales",148224.0,0,3
"plan2335","77d616308c",9,644607.0,0,"Administrative Officer",71623.0,0,9
"plan2334","36d28904a0",3,255612.0,0,"Project Manager",85204.0,0,3
"plan2332","33d2b9b092",0,0.0,0,"Associate",114914.0,0,0
"plan2331","826e2ee86a",0,0.0,0,"Business Development Manager",117570.0,0,0
"plan2329","fa89d089fa",4,435348.0,0,"Accountant",108837.0,0,4
"plan2328","53d31657c2",9,934947.0,0,"Project Manager",103883.0,0,9
"plan2327","6c31a4b316",2,294784.0,0,"Secretary",147392.0,0,2
"plan2325","9dd4804cca",9,578421.0,0,"Designer",64269.0,0,9
"plan2324","58922cd4fd",6,818736.0,0,"Engineer",136456.0,0,6
"plan2323","4ac736902a",0,0.0,0,"Engineer",70360.0,0,0
"plan2321","425ee33d41",8,888264.0,0,"Researcher",111033.0,0,8
"plan2320","2b6da1742e",8,557040.0,0,"Accountant",69630.0,0,8
"plan2319","fde7e6f071",5,632110.0,0,"Engineer",126422.0,0,5
"plan2318","4ffb47989f",3,304731.0,0,"Secretary",101577.0,0,3
"plan2317","b2a3a679d4",11,1279322.0,0,"Project Manager",116302.0,0,11
