"ID","ID (Staffing Plan Detail)","Vacancies (Staffing Plan Detail)","Total Estimated Cost (Staffing Plan Detail)","Designation (Staffing Plan Detail)","Estimated Cost Per Position (Staffing Plan Detail)","Current Count (Staffing Plan Detail)","Number Of Positions (Staffing Plan Detail)","Current Openings (Staffing Plan Detail)"
"plan7121","1817d8e238",0,0.0,"HR Manager",145550.0,0,0,0
"plan7120","89808d61f1",0,0.0,"Accountant",131115.0,0,0,0
"plan7119","70f51d340c",0,0.0,"Accountant",143902.0,0,0,0
"plan7118","eed56e4dd8",6,879780.0,"Secretary",146630.0,0,6,0
"plan7114","1d36b03323",0,0.0,"Secretary",143021.0,0,0,0
"plan7113","43574b174f",0,0.0,"Head of Marketing and Sales",54084.0,0,0,0
"plan7111","27a4146b68",0,0.0,"Analyst",137461.0,0,0,0
"plan7110","de2556397e",0,0.0,"Researcher",106613.0,0,0,0
"plan7109","69cf717e45",0,0.0,"HR Manager",91896.0,0,0,0
"plan7106","dc0a57e075",0,0.0,"Business Development Manager",142415.0,0,0,0
"plan7105","86829c4a9c",0,0.0,"Administrative Officer",114826.0,0,0,0
"plan7104","8a01a624b1",10,1158100.0,"HR Manager",115810.0,0,10,0
"plan7101","58a4f77ea2",10,1000000.0,"Analyst",100000.0,0,10,0
"plan7100","7df5ffc86c",3,360834.0,"Administrative Officer",120278.0,0,3,0
"plan7099","0ea7c61263",0,0.0,"Accountant",140959.0,0,0,0
"plan7098","41d9e124c2",0,0.0,"Software Developer",98192.0,0,0,0
"plan7095","7317f23341",4,522768.0,"HR Manager",130692.0,0,4,0
"plan7094","a0e6454719",0,0.0,"Project Manager",106738.0,0,0,0
"plan7093","7d9c449c27",5,425235.0,"Secretary",85047.0,0,5,0
"plan7092","26fb69d7c2",6,711468.0,"Software Developer",118578.0,0,6,0
"plan7091","eb76db410d",6,850782.0,"Accountant",141797.0,0,6,0
"plan7090","12de2713e7",5,432350.0,"Head of Marketing and Sales",86470.0,0,5,0
"plan7089","fbb4760f41",2,131734.0,"Engineer",65867.0,0,2,0
"plan7088","2bc27ac33d",9,1271160.0,"Software Developer",141240.0,0,9,0
"plan7087","159928d9c9",10,611910.0,"Designer",61191.0,0,10,0
"plan7086","a52a72fe31",11,795410.0,"Secretary",72310.0,0,11,0
"plan7085","b8ac59d279",0,0.0,"Administrative Officer",96694.0,0,0,0
"plan7084","c5230594f9",0,0.0,"Secretary",70560.0,0,0,0
"plan7083","2fdd09207b",10,795500.0,"Project Manager",79550.0,0,10,0
"plan7081","d7f6ed8830",0,0.0,"Engineer",120322.0,0,0,0
"plan7080","3798b33256",10,1464180.0,"HR Manager",146418.0,0,10,0
"plan7079","10d2132459",8,961552.0,"Administrative Officer",120194.0,0,8,0
"plan7078","9df9365fcf",3,251748.0,"HR Manager",83916.0,0,3,0
"plan7077","a432185e13",4,231196.0,"Administrative Officer",57799.0,0,4,0
"plan7076","14e2451ae9",11,946759.0,"Head of Marketing and Sales",86069.0,0,11,0
"plan7075","4314b455fb",2,209954.0,"Head of Marketing and Sales",104977.0,0,2,0
"plan7074","db09808830",3,202119.0,"Project Manager",67373.0,0,3,0
"plan7073","411e2a3cf0",3,247305.0,"Administrative Officer",82435.0,0,3,0
"plan7072","93fab0d4b0",4,270228.0,"HR Manager",67557.0,0,4,0
"plan7069","dbf4780082",0,0.0,"Analyst",80827.0,0,0,0
"plan7068","225c7f03a6",11,1255199.0,"Designer",114109.0,0,11,0
"plan7067","9804699b53",0,0.0,"Designer",115302.0,0,0,0
"plan7066","459d8a6f76",0,0.0,"Software Developer",91528.0,0,0,0
"plan7064","fb12db488b",7,617008.0,"Engineer",88144.0,0,7,0
"plan7063","6946aa83d8",0,0.0,"Associate",141413.0,0,0,0
"plan7062","0661c463cd",0,0.0,"HR Manager",118407.0,0,0,0
"plan7061","d15ebcc38d",11,606463.0,"Designer",55133.0,0,11,0
"plan7058","9be059d42a",7,623658.0,"Project Manager",89094.0,0,7,0
"plan7057","da92317a6d",11,996787.0,"Business Development Manager",90617.0,0,11,0
"plan7056","bd1d9a3753",3,368502.0,"Accountant",122834.0,0,3,0
"plan7055","d2f6469855",0,0.0,"Project Manager",70139.0,0,0,0
"plan7054","9ba754473c",9,830592.0,"Administrative Officer",92288.0,0,9,0
"plan7053","d98a081fff",3,159153.0,"Secretary",53051.0,0,3,0
"plan7052","48fdf9e4fd",6,673878.0,"Project Manager",112313.0,0,6,0
"plan7051","19a82c84cd",0,0.0,"Researcher",144230.0,0,0,0
"plan7049","8ffdc0de0e",5,557335.0,"Analyst",111467.0,0,5,0
"plan7047","2f967665af",0,0.0,"Analyst",117035.0,0,0,0
"plan7045","4ef401052a",0,0.0,"Analyst",69141.0,0,0,0
"plan7044","b2e6741edd",0,0.0,"Accountant",111502.0,0,0,0
"plan7043","b6ad9d07ca",8,508672.0,"Secretary",63584.0,0,8,0
"plan7042","1b6de0efae",4,497404.0,"Analyst",124351.0,0,4,0
"plan7041","ec46af3f03",0,0.0,"Administrative Officer",115658.0,0,0,0
"plan7040","355cc99fea",11,1589786.0,"Researcher",144526.0,0,11,0
"plan7038","c36ef10ced",0,0.0,"Engineer",62157.0,0,0,0
"plan7037","4812b7cbef",0,0.0,"HR Manager",113246.0,0,0,0
"plan7034","a433032ad1",0,0.0,"Head of Marketing and Sales",114267.0,0,0,0
"plan7033","ae222f7cf1",10,536500.0,"Engineer",53650.0,0,10,0
"plan7032","37c562e9c1",0,0.0,"Researcher",72449.0,0,0,0
"plan7030","5ae467d029",0,0.0,"HR Manager",58138.0,0,0,0
"plan7029","92f5adf53d",4,586320.0,"Researcher",146580.0,0,4,0
"plan7028","91d1526fde",0,0.0,"Designer",129576.0,0,0,0
"plan7027","f71098f027",2,252086.0,"Engineer",126043.0,0,2,0
"plan7026","0ccf650e71",0,0.0,"Researcher",62770.0,0,0,0
"plan7025","b33090e67a",9,844182.0,"Project Manager",93798.0,0,9,0
"plan7023","f924254492",0,0.0,"Associate",103798.0,0,0,0
"plan7022","18c20c88b8",0,0.0,"Engineer",123795.0,0,0,0
"plan7021","9ff8445759",0,0.0,"Software Developer",104949.0,0,0,0
"plan7020","b5a9d4445a",0,0.0,"Software Developer",82057.0,0,0,0
"plan7019","be3774e2b8",10,931290.0,"Administrative Officer",93129.0,0,10,0
"plan7018","d428d28d43",0,0.0,"Software Developer",60330.0,0,0,0
"plan7017","09063b8940",0,0.0,"Business Development Manager",70156.0,0,0,0
"plan7016","d3d8656b05",0,0.0,"HR Manager",127257.0,0,0,0
"plan7015","a2452f30cf",4,220348.0,"Administrative Officer",55087.0,0,4,0
"plan7014","e8b586bab3",0,0.0,"Administrative Officer",140803.0,0,0,0
"plan7013","df0e59f764",3,364134.0,"Software Developer",121378.0,0,3,0
"plan7012","e0e3566343",2,156076.0,"Researcher",78038.0,0,2,0
"plan7011","0a8daae742",8,902200.0,"Engineer",112775.0,0,8,0
"plan7010","d4dc0426af",9,979335.0,"Associate",108815.0,0,9,0
"plan7009","258ffc46fa",4,248364.0,"Head of Marketing and Sales",62091.0,0,4,0
"plan7008","7d2dfa0514",0,0.0,"Accountant",77766.0,0,0,0
"plan7007","668d0bfe0f",10,648690.0,"Head of Marketing and Sales",64869.0,0,10,0
"plan7006","f91a345ba7",5,386000.0,"Engineer",77200.0,0,5,0
"plan7005","3744681646",0,0.0,"Business Development Manager",65062.0,0,0,0
"plan7004","ea59364d3c",11,742566.0,"Software Developer",67506.0,0,11,0
"plan7003","f8df301e81",2,160924.0,"Designer",80462.0,0,2,0
"plan7002","6e2200ca1a",6,654228.0,"Researcher",109038.0,0,6,0
"plan7001","20c43e11df",11,765006.0,"Head of Marketing and Sales",69546.0,0,11,0
"plan7000","9780a6f1b8",6,672474.0,"Accountant",112079.0,0,6,0
"plan6998","0564baa11a",4,543148.0,"Project Manager",135787.0,0,4,0
"plan6995","6c9d7704b7",0,0.0,"Project Manager",115392.0,0,0,0
"plan6993","be7fe9ca4a",5,446295.0,"Head of Marketing and Sales",89259.0,0,5,0
"plan6992","5f48b40ddf",9,456219.0,"Engineer",50691.0,0,9,0
"plan6991","bea4ffeb8a",8,1098536.0,"Analyst",137317.0,0,8,0
"plan6990","02a28f3341",5,536025.0,"HR Manager",107205.0,0,5,0
"plan6989","59dc66c37f",7,737989.0,"Researcher",105427.0,0,7,0
"plan6987","72f5bf16c9",3,284448.0,"Designer",94816.0,0,3,0
"plan6986","e1bdf5ec19",0,0.0,"Administrative Officer",63043.0,0,0,0
"plan6984","23c1d7f5a8",10,509560.0,"Project Manager",50956.0,0,10,0
"plan6983","1baba03cfb",0,0.0,"Software Developer",50582.0,0,0,0
"plan6982","faf0a9a89b",0,0.0,"Associate",143279.0,0,0,0
"plan6981","f772a36b5c",8,832368.0,"Secretary",104046.0,0,8,0
"plan6974","2958f171cb",10,1268080.0,"Administrative Officer",126808.0,0,10,0
"plan6973","78b93038c2",2,291026.0,"Researcher",145513.0,0,2,0
"plan6972","ce84320812",0,0.0,"Designer",98783.0,0,0,0
"plan6964","e59a7bd4a3",5,613370.0,"Researcher",122674.0,0,5,0
"plan6963","a4ba343b10",0,0.0,"Analyst",54011.0,0,0,0
"plan6961","6b9aaaa820",0,0.0,"Designer",79486.0,0,0,0
"plan6958","42cbedf86e",0,0.0,"Software Developer",60678.0,0,0,0
"plan6956","f4d3a3245d",2,202196.0,"Associate",101098.0,0,2,0
"plan6955","0dd79af4e1",0,0.0,"HR Manager",67659.0,0,0,0
"plan6953","d6c4a0083d",2,205094.0,"Software Developer",102547.0,0,2,0
"plan6952","791c268fb0",0,0.0,"Secretary",63279.0,0,0,0
"plan6951","dba34ecae4",6,411666.0,"HR Manager",68611.0,0,6,0
"plan6950","c6f5282307",0,0.0,"Secretary",0.0,0,0,0
"plan6948","a321323c11",0,0.0,"Project Manager",122283.0,0,0,0
"plan6946","bd892516a0",8,1161192.0,"HR Manager",145149.0,0,8,0
"plan6944","0f71472ab9",11,1114047.0,"Business Development Manager",101277.0,0,11,0
"plan6943","8b8a6d88b7",8,757112.0,"Analyst",94639.0,0,8,0
"plan6938","f7daae0523",5,742495.0,"Designer",148499.0,0,5,0
"plan6937","dc2d7f8b91",3,253404.0,"Administrative Officer",84468.0,0,3,0
"plan6936","ced1904260",9,1338264.0,"Accountant",148696.0,0,9,0
"plan6935","0bc96cd9ec",0,0.0,"Associate",134060.0,0,0,0
"plan6933","e657dca931",10,776000.0,"Engineer",77600.0,0,10,0
"plan6932","d7ff23fc9a",0,0.0,"Designer",97581.0,0,0,0
"plan6931","b72321b1b2",9,1200060.0,"Analyst",133340.0,0,9,0
"plan6930","70a6a66530",10,1405480.0,"Secretary",140548.0,0,10,0
"plan6929","fca82bfd2c",0,0.0,"Administrative Officer",112973.0,0,0,0
"plan6928","cbcabcd9b1",0,0.0,"Associate",121681.0,0,0,0
"plan6926","fda48ace82",0,0.0,"Business Development Manager",119671.0,0,0,0
"plan6922","d8f54d485f",11,796840.0,"Secretary",72440.0,0,11,0
"plan6921","52ad2b069f",0,0.0,"Researcher",146578.0,0,0,0
"plan6920","71f79ce5e6",3,445356.0,"Accountant",148452.0,0,3,0
"plan6915","e5d1c41b83",0,0.0,"HR Manager",111909.0,0,0,0
"plan6914","846b759e2e",0,0.0,"Accountant",54030.0,0,0,0
"plan6912","fb33fd8732",0,0.0,"Engineer",92194.0,0,0,0
"plan6910","9c74025fea",0,0.0,"Designer",124922.0,0,0,0
"plan6909","40904881bf",5,529510.0,"Business Development Manager",105902.0,0,5,0
"plan6908","6b50ff74aa",5,393825.0,"Secretary",78765.0,0,5,0
"plan6907","5135b9cfa4",0,0.0,"Head of Marketing and Sales",55923.0,0,0,0
"plan6905","7ed059b11e",0,0.0,"Researcher",103936.0,0,0,0
"plan6901","54e1948fb7",3,408183.0,"Researcher",136061.0,0,3,0
"plan6899","2afe332de0",6,672714.0,"Researcher",112119.0,0,6,0
"plan6898","5ce59988de",0,0.0,"Secretary",94139.0,0,0,0
"plan6897","3d1daab1b3",2,246452.0,"Business Development Manager",123226.0,0,2,0
"plan6895","fbc9054352",8,936568.0,"Researcher",117071.0,0,8,0
"plan6894","7c795afb2c",0,0.0,"Associate",97360.0,0,0,0
"plan6893","261850cae6",0,0.0,"Associate",96974.0,0,0,0
"plan6889","707c991cd0",7,1016799.0,"Business Development Manager",145257.0,0,7,0
"plan6888","10189dfc95",2,153378.0,"Secretary",76689.0,0,2,0
"plan6887","c6659a11ea",8,622544.0,"Software Developer",77818.0,0,8,0
"plan6886","ba10194529",10,1124490.0,"HR Manager",112449.0,0,10,0
"plan6883","a40f32f18d",0,0.0,"Associate",126058.0,0,0,0
"plan6880","784e57b0f4",0,0.0,"Accountant",52744.0,0,0,0
"plan6875","4d8c021b37",4,303008.0,"Researcher",75752.0,0,4,0
"plan6874","80e62746e9",2,164468.0,"Designer",82234.0,0,2,0
"plan6873","2a8a26ff76",0,0.0,"Analyst",57782.0,0,0,0
"plan6869","5fe0be8cae",0,0.0,"HR Manager",101922.0,0,0,0
"plan6866","26364386b1",0,0.0,"HR Manager",123905.0,0,0,0
"plan6863","1ae76493f2",10,1309460.0,"Associate",130946.0,0,10,0
"plan6862","5bfc0775bc",8,971896.0,"Engineer",121487.0,0,8,0
"plan6861","a3b4c3b812",2,228416.0,"Engineer",114208.0,0,2,0
"plan6860","8d86e7097b",9,900234.0,"Head of Marketing and Sales",100026.0,0,9,0
"plan6859","2df17c2763",0,0.0,"Administrative Officer",51643.0,0,0,0
"plan6851","7ef11dc6a3",5,603940.0,"Designer",120788.0,0,5,0
"plan6850","c5f551f4a2",11,999251.0,"Engineer",90841.0,0,11,0
"plan6849","bfad6d9b2d",11,1433289.0,"Software Developer",130299.0,0,11,0
"plan6848","a5c40b7377",0,0.0,"Project Manager",56981.0,0,0,0
"plan6845","f4379365e2",8,1107256.0,"Project Manager",138407.0,0,8,0
"plan6843","1ab744ff8a",10,693100.0,"Analyst",69310.0,0,10,0
"plan6842","dc8de51f16",0,0.0,"Secretary",78176.0,0,0,0
"plan6841","c901f867d0",0,0.0,"Secretary",60885.0,0,0,0
"plan6840","20810605aa",4,499008.0,"HR Manager",124752.0,0,4,0
"plan6839","8b7054f009",0,0.0,"Head of Marketing and Sales",80998.0,0,0,0
"plan6838","5d10086b9d",10,982230.0,"Head of Marketing and Sales",98223.0,0,10,0
"plan6836","810abb5512",9,504846.0,"Head of Marketing and Sales",56094.0,0,9,0
"plan6835","f399c7b18c",0,0.0,"Administrative Officer",114872.0,0,0,0
"plan6834","9d6d6d4a16",0,0.0,"Head of Marketing and Sales",64788.0,0,0,0
"plan6833","bd61990136",9,726651.0,"Head of Marketing and Sales",80739.0,0,9,0
"plan6832","1a66441c95",0,0.0,"Software Developer",62722.0,0,0,0
"plan6829","f281564bfa",2,106596.0,"Accountant",53298.0,0,2,0
"plan6827","f35f2bb159",0,0.0,"Engineer",67543.0,0,0,0
"plan6825","ecfdeeb4bf",10,1093430.0,"Accountant",109343.0,0,10,0
"plan6824","dc91158830",8,444856.0,"Software Developer",55607.0,0,8,0
"plan6823","0695b57398",8,794520.0,"Researcher",99315.0,0,8,0
"plan6821","0a4dace214",0,0.0,"Business Development Manager",61086.0,0,0,0
"plan6819","51ae56a975",0,0.0,"Designer",118128.0,0,0,0
"plan6816","ad9ec06733",0,0.0,"Designer",81513.0,0,0,0
"plan6814","cd659679b9",6,552360.0,"Engineer",92060.0,0,6,0
"plan6812","5022fcfa27",0,0.0,"Associate",71317.0,0,0,0
"plan6810","8153bbb540",6,870954.0,"Accountant",145159.0,0,6,0
"plan6809","b04ae34e7c",10,698510.0,"Business Development Manager",69851.0,0,10,0
"plan6808","3edcd08f07",11,1292060.0,"Researcher",117460.0,0,11,0
"plan6807","2b222e9f51",5,397115.0,"Analyst",79423.0,0,5,0
"plan6806","16454d95af",3,419544.0,"Head of Marketing and Sales",139848.0,0,3,0
"plan6805","b966658055",0,0.0,"HR Manager",125969.0,0,0,0
"plan6804","4e781b1a6a",0,0.0,"Head of Marketing and Sales",141195.0,0,0,0
"plan6803","1c309ec4ee",0,0.0,"HR Manager",63334.0,0,0,0
"plan6802","771145b8f4",2,147436.0,"Software Developer",73718.0,0,2,0
"plan6795","7f0a3f23e6",0,0.0,"Associate",107894.0,0,0,0
"plan6792","4bc221b658",0,0.0,"Administrative Officer",75623.0,0,0,0
"plan6791","3cb2d26b23",4,431808.0,"Engineer",107952.0,0,4,0
"plan6790","5d7ce29b76",0,0.0,"Project Manager",52181.0,0,0,0
"plan6788","39bc43291b",5,347900.0,"Project Manager",69580.0,0,5,0
"plan6787","abf1f8609c",0,0.0,"Secretary",99854.0,0,0,0
"plan6786","3781a48e38",0,0.0,"Designer",67658.0,0,0,0
"plan6785","8321b6fd8c",9,495477.0,"Head of Marketing and Sales",55053.0,0,9,0
"plan6781","6dfded3d25",0,0.0,"Project Manager",134999.0,0,0,0
"plan6780","9c79d5dce2",4,389792.0,"Business Development Manager",97448.0,0,4,0
"plan6777","72eb1f698d",0,0.0,"Engineer",55336.0,0,0,0
"plan6774","f98f3e1d6b",3,297459.0,"Engineer",99153.0,0,3,0
"plan6773","7d69678168",0,0.0,"Analyst",66353.0,0,0,0
"plan6772","9e66275c2e",0,0.0,"Administrative Officer",66097.0,0,0,0
"plan6770","a39aecaf89",0,0.0,"Researcher",128074.0,0,0,0
"plan6767","107da8e329",7,884058.0,"Software Developer",126294.0,0,7,0
"plan6764","893e8b30d9",0,0.0,"Administrative Officer",125552.0,0,0,0
"plan6763","787dcb3d52",0,0.0,"HR Manager",122795.0,0,0,0
"plan6762","e85e85ba80",2,146754.0,"Associate",73377.0,0,2,0
"plan6761","7478ca66d8",2,168844.0,"Designer",84422.0,0,2,0
"plan6760","c3c426cd64",0,0.0,"Researcher",98889.0,0,0,0
"plan6759","7f208fbf7e",8,554352.0,"Administrative Officer",69294.0,0,8,0
"plan6758","60f991651d",3,414774.0,"Head of Marketing and Sales",138258.0,0,3,0
"plan6757","5346db3b44",0,0.0,"Secretary",72737.0,0,0,0
"plan6755","c99be9363b",0,0.0,"Secretary",80948.0,0,0,0
"plan6754","acbf60faa9",3,164427.0,"Project Manager",54809.0,0,3,0
"plan6753","288bcab92f",0,0.0,"Administrative Officer",54512.0,0,0,0
"plan6751","ce969f6f82",5,409680.0,"Designer",81936.0,0,5,0
"plan6750","37aa91bd9e",0,0.0,"Project Manager",145028.0,0,0,0
"plan6749","918f7e552e",5,454935.0,"Analyst",90987.0,0,5,0
"plan6748","ba0c6b2f13",0,0.0,"Designer",94973.0,0,0,0
"plan6745","748aed166d",0,0.0,"Accountant",66275.0,0,0,0
"plan6743","164d04450b",0,0.0,"Business Development Manager",122528.0,0,0,0
"plan6741","4261815456",0,0.0,"Engineer",67988.0,0,0,0
"plan6740","7acef32e81",9,609048.0,"Researcher",67672.0,0,9,0
"plan6739","69026c9f33",0,0.0,"Researcher",133374.0,0,0,0
"plan6737","43a63ff9d2",10,800540.0,"Secretary",80054.0,0,10,0
"plan6736","e525956978",0,0.0,"Engineer",149973.0,0,0,0
"plan6735","c020166aa3",0,0.0,"Project Manager",134594.0,0,0,0
"plan6733","840d850138",8,435632.0,"Associate",54454.0,0,8,0
"plan6732","c54f5c4950",0,0.0,"Associate",99088.0,0,0,0
"plan6729","3d2e07eb5c",0,0.0,"Designer",80121.0,0,0,0
"plan6725","a47586ac3c",11,675334.0,"Project Manager",61394.0,0,11,0
"plan6724","aad88140da",0,0.0,"Software Developer",100278.0,0,0,0
"plan6720","d2a81ac365",4,427932.0,"Associate",106983.0,0,4,0
"plan6717","6a02531a5a",9,773766.0,"HR Manager",85974.0,0,9,0
"plan6716","52976b252b",7,489132.0,"Business Development Manager",69876.0,0,7,0
"plan6715","52aa3286d5",3,256161.0,"Associate",85387.0,0,3,0
"plan6714","acd708e180",3,178167.0,"Engineer",59389.0,0,3,0
"plan6713","c0a2954f8c",2,207550.0,"Engineer",103775.0,0,2,0
"plan6712","493681d3db",9,733437.0,"HR Manager",81493.0,0,9,0
"plan6711","81bc1307b4",2,109654.0,"Accountant",54827.0,0,2,0
"plan6710","1355d2af6a",10,1151160.0,"Designer",115116.0,0,10,0
"plan6709","5fe6b15ecb",11,1379158.0,"Business Development Manager",125378.0,0,11,0
"plan6708","1e4af0b4fe",0,0.0,"Business Development Manager",62346.0,0,0,0
"plan6706","7a073d6802",8,1046208.0,"Project Manager",130776.0,0,8,0
"plan6705","fb2ae66d21",0,0.0,"Associate",132887.0,0,0,0
"plan6704","103e22cee4",0,0.0,"Administrative Officer",134060.0,0,0,0
"plan6702","7adacb09fc",0,0.0,"Business Development Manager",141156.0,0,0,0
"plan6701","3a743e7b02",0,0.0,"Software Developer",54513.0,0,0,0
"plan6699","2308ce827b",0,0.0,"Secretary",77357.0,0,0,0
"plan6698","76f887fae5",0,0.0,"Secretary",127104.0,0,0,0
"plan6697","2afd5e40b5",7,900487.0,"Software Developer",128641.0,0,7,0
"plan6695","b6dcccc416",0,0.0,"Head of Marketing and Sales",68067.0,0,0,0
"plan6694","c12996f426",0,0.0,"Accountant",81695.0,0,0,0
"plan6692","ee25638b4e",0,0.0,"Project Manager",133661.0,0,0,0
"plan6690","d0da2b466e",7,1042531.0,"Project Manager",148933.0,0,7,0
"plan6689","074d75dcd3",3,275421.0,"Designer",91807.0,0,3,0
"plan6688","8120a5707a",0,0.0,"Head of Marketing and Sales",96905.0,0,0,0
